chapter_id,volume,chapter,source_file,line_start,line_end,source_heading,linked_scene_ids,status,boundary_status,remaining_review,notes
Adi011,1,11,MAHABHARATA-1-AADIPARVA-_djvu (1).txt,12539,12707,(ಡುಂಡುಭನಿಂದ ತನಗೆ ಬಂದ ಶಾಪದ ಕಥನ. ರುರುವಿಗೆ ಶಾಂತಿಯಿಂದಿರಲು ಉಪದೇಶ. ಪ್ರಸಂಗದಿಂದ ಜನಮೇಜಯನ ಸರ್ಪಯಾಗದ ಉಲ್ಲೇಖ.),G06-S06 | G06-S07,source-linked narrative draft; passage completeness NOT certified,heading_observed_not_scan_verified,"Compare every verse, explanation, named entry and commentary point with source. A citation range overlap is not proof that all content is spoken.",
Adi012,1,12,MAHABHARATA-1-AADIPARVA-_djvu (1).txt,12708,12811,(ರುರುವಿಗೆ ವಿಸ್ತಾರವಾಗಿ ಸರ್ಪಯಾಗವನ್ನುಕೇಳುವ ಇಚ್ಛೆ. ಮುಂದೆ ಕೇಳುವಿ ಎಂದು ಹೇಳಿ ಸಹಸ್ರಪದನ ಅಂತರ್ಧಾನ. ತಂದೆಯಲ್ಲಿಪುನಃ ಸರ್ಪಯಾಗದ ಪ್ರಶ್ನೆ.),G06-S08,source-linked narrative draft; passage completeness NOT certified,heading_observed_not_scan_verified,"Compare every verse, explanation, named entry and commentary point with source. A citation range overlap is not proof that all content is spoken.",
Adi013,1,13,MAHABHARATA-1-AADIPARVA-_djvu (1).txt,12812,13333,(ಆಸ್ತೀಕನು ಸರ್ಪಗಳನ್ನು ರಕ್ಷಿಸಿದ ಬಗ್ಗೆ ತಿಳಿಯಲು ಶೌನಕನ ಪ್ರಶ್ನೆ. ಜರತ್ಕಾರುಎನ ವಿವಾಹ ಪ್ರಯತ್ನ. ವಾಸುಕಿಯ ತಂಗಿಯ ಜೊತೆಯಲ್ಲಿವಿವಾಹ. ಕದ್ರುವಿನಿಂದ ತನ್ನ ಮಕ್ಕಳಾದ ಸರ್ಪಗಳಿಗೆ ಶಾಪ. ಶಾಪವಿಮೋಚನೆಗಾಗಿ ಆಸ್ತೀಕನ ಜನನ.),G07-S01,source-linked narrative draft; passage completeness NOT certified,heading_observed_not_scan_verified,"Compare every verse, explanation, named entry and commentary point with source. A citation range overlap is not proof that all content is spoken.","Repeated chapter-opening headers in raw OCR: 12812,12881. Do not narrate duplicate as a second event."
Adi014,1,14,MAHABHARATA-1-AADIPARVA-_djvu (1).txt,13334,13583,(ಇನ್ನೂವಿಸ್ತಾರವಾಗಿ ಆಸ್ತೀಕಚರಿತ್ರೆಯ ಕಥನದ ಉಪಕ್ರಮ. ಕದ್ರುವಿನತೆಯರ ಸ್ಪರ್ಧೆ. ಕದ್ರುವಿನಿಂದ ಸರ್ಪಗಳ ಜನನ. ವಿನತೆಗೆ ಮಗನಾದ ಅರುಣನಿಂದ ಶಾಪಪ್ರಾಪ್ತಿ. ಅರುಣನ ಸೂರ್ಯಸಾರಥ್ಯ ಮತ್ತು ಗರುಡನ ಜನ್ಮ.),G07-S02 | G07-S03,source-linked narrative draft; passage completeness NOT certified,heading_observed_not_scan_verified,"Compare every verse, explanation, named entry and commentary point with source. A citation range overlap is not proof that all content is spoken.",
Adi015,1,15,MAHABHARATA-1-AADIPARVA-_djvu (1).txt,13584,14103,(ಕದ್ರುವಿನತೆಯರ ಪಣ. ಅಮೃತವನ್ನು ಪಡೆಯಲು ಕ್ಷೀರಸಮುದ್ರವನ್ನು ಮಥಿಸಲು ದೇವಾಸುರರ ನಿರ್ಧಾರ.),G07-S04 | G07-S05 | G07-S08,source-linked narrative draft; passage completeness NOT certified,heading_observed_not_scan_verified,"Compare every verse, explanation, named entry and commentary point with source. A citation range overlap is not proof that all content is spoken.",
Adi016,1,16,MAHABHARATA-1-AADIPARVA-_djvu (1).txt,14104,14655,"(ಮಂದರವನ್ನು ಕಡೆಗೋಲನ್ನಾಗಿ ಮಾಡಿ, ವಾಸುಕಿಯನ್ನು ಹಗ್ಗವನ್ನುಮಾಡಿ, ಸರ್ವೌಷಧಿಗಳನ್ನು ಹಾಕಿ ಸಮುದ್ರಮಥನ, ಪಾರಿಜಾತಾದಿ ಉತ್ಪತ್ತಿ, ಧನ್ನಂತರಿಯ ಪ್ರಾದುರ್ಭಾವ, ದೈತ್ಯರಿಗೆ ವಂಚನೆ.) |",G07-S06 | G07-S07 | G07-S09 | G07-S10,source-linked narrative draft; passage completeness NOT certified,heading_observed_not_scan_verified,"Compare every verse, explanation, named entry and commentary point with source. A citation range overlap is not proof that all content is spoken.",
Adi017,1,17,MAHABHARATA-1-AADIPARVA-_djvu (1).txt,14656,14991,"(ದೇವತೆಗಳಿಂದ ಅಮೃತಪಾನ, ದೇವಾಸುರ ಸಂಗ್ರಾಮ, ಅಸುರರ ಪರಾಭವ, ಮಂದರಪರ್ವತದ ಯಥಾಸ್ಥಾನಗಮನ ಮತ್ತು ಅಮೃತದ ರಕ್ಷಣೆ.)",G07-S11,source-linked narrative draft; passage completeness NOT certified,heading_observed_not_scan_verified,"Compare every verse, explanation, named entry and commentary point with source. A citation range overlap is not proof that all content is spoken.",
Adi018,1,18,MAHABHARATA-1-AADIPARVA-_djvu (1).txt,14992,15166,"(ಉಚ್ಚೆ:ಶ್ರವಸ್ಸಿನ ಬಾಲದ ಬಣ್ಣದ ವಿಷಯದಲ್ಲಿ ಕದ್ರುವಿನತೆಯರ ಪಣ, ಕದ್ರುವಿನಿಂದ ತನ್ನ ಮಕ್ಕಳಿಗೆ ಶಾಪ, ಬ್ರಹ್ಮದೇವರ ಅನುಮೋದನೆ. ಕಾಶ್ಯಪರಿಗೆ ಬ್ರಹ್ಮದೇವರ ಸಮಾಧಾನವಚನ, ಕಾರ್ಕೋಟಕನಿಂದ ತಾಯಿಗೆ ಆಶ್ವಾಸನೆ)",G07-S12,source-linked narrative draft; passage completeness NOT certified,heading_observed_not_scan_verified,"Compare every verse, explanation, named entry and commentary point with source. A citation range overlap is not proof that all content is spoken.",
Adi019,1,19,MAHABHARATA-1-AADIPARVA-_djvu (1).txt,15167,15304,(ಕದ್ರುವಿನತೆಯರಿಂದ ಸಮುದ್ರಗಮನ ಮತ್ತು ಸಮುದ್ರದ ವರ್ಣನೆ.),G08-S01,source-linked narrative draft; passage completeness NOT certified,heading_observed_not_scan_verified,"Compare every verse, explanation, named entry and commentary point with source. A citation range overlap is not proof that all content is spoken.",
Adi020,1,20,MAHABHARATA-1-AADIPARVA-_djvu (1).txt,15305,15736,"(ಪಣದಲ್ಲಿಕುಟಿಲೋಪಾಯದಿಂದ ಕದ್ರುವಿನ ಜಯ, ವಿನತೆಯ ದಾಸ್ಯ, ಗರುಡನ ಉತ್ಪತ್ತಿ. ಗರುಡನಿಗೆ ಹೆದರಿ ದೇವತೆಗಳಿಂದ ಅವನಸ್ತುತಿ. ಗರುಡನಿಂದ ತನ್ನದೇಹದ ಮತ್ತು ತೇಜಸ್ಸಿನ ಉಪಸಂಹಾರ.)",G08-S01 | G08-S02,source-linked narrative draft; passage completeness NOT certified,heading_observed_not_scan_verified,"Compare every verse, explanation, named entry and commentary point with source. A citation range overlap is not proof that all content is spoken.",
Adi021,1,21,MAHABHARATA-1-AADIPARVA-_djvu (1).txt,15737,15952,(ಎನತೆಯಿಂದ ಕದ್ರುವಿನ ವಹನ ಮತ್ತು ಗರುಡನಿಂದ ಸರ್ಪಗಳ ವಹನ. ಸೂರ್ಯತಾಪಕ್ಕೆಒಳಗಾದ ಸರ್ಪಗಳ ಶಾಂತಿಗಾಗಿ ಕದ್ರುವಿನಿಂದ ಇಂದ್ರಸ್ತುತಿ),G08-S03,source-linked narrative draft; passage completeness NOT certified,heading_observed_not_scan_verified,"Compare every verse, explanation, named entry and commentary point with source. A citation range overlap is not proof that all content is spoken.",
Adi022,1,22,MAHABHARATA-1-AADIPARVA-_djvu (1).txt,15953,16007,(ಇಂದ್ರನು ಸುರಿಸಿದ ಮಳೆಯಿಂದ ಸರ್ಪಗಳ ತಾಪ ಪರಿಹಾರ.),G08-S03,source-linked narrative draft; passage completeness NOT certified,heading_observed_not_scan_verified,"Compare every verse, explanation, named entry and commentary point with source. A citation range overlap is not proof that all content is spoken.",
Adi023,1,23,MAHABHARATA-1-AADIPARVA-_djvu (1).txt,16008,16323,(ಸರ್ಪಗಳ ಮಾತಿನಂತೆ ತಾಯಿಯನ್ನುದಾಸ್ಯದಿಂದ ಬಿಡಿಸಲು ಅಮೃತವನ್ನುತರಲು ಗರುಡನ ಪ್ರಯತ್ನ. ತಾಯಿಯನ್ನುಕುರಿತು ಆಹಾರ ಪ್ರಾರ್ಥನೆ. ತಾಯಿಯ ಮಾತಿನಂತೆ ಸಮುದ್ರಮಧ್ಯದಲ್ಲಿದ್ದನಿಷಾದರ ಭಕ್ಷಣ),G08-S04 | G08-S05,source-linked narrative draft; passage completeness NOT certified,heading_observed_not_scan_verified,"Compare every verse, explanation, named entry and commentary point with source. A citation range overlap is not proof that all content is spoken.",
Adi024,1,24,MAHABHARATA-1-AADIPARVA-_djvu (1).txt,16324,16678,(ನಿಷಾದರ ಮಧ್ಯದಲ್ಲಿದ್ದಬ್ರಾಹ್ಮಣನೊಬ್ಬನನ್ನುಬಿಟ್ಟುಗರುಡನಿಂದ ಎಲ್ಲಾನಿಷಾದರ ಭಕ್ಷಣ. ಆಹಾರಕ್ಕಾಗಿ ಪುನಃ ತಂದೆಯನ್ನುಕುರಿತು ಪ್ರಾರ್ಥನೆ. ತಂದೆಯ ಆಜ್ಞೆಯಂತೆ ಗಜ ಮತ್ತು ಕೂರ್ಮಗಳ ಭಕ್ಷಣ. ವಟವೃಕ್ಚದ ಆಹ್ನಾನದಂತೆ ವಟವೃಕ್ಷದ ಮೇಲೆ ಉಪವೇಶನ. ವೃಕ್ಷದ ಶಾಖಾಭಂಗ.),G08-S05 | G08-S06 | G08-S07,source-linked narrative draft; passage completeness NOT certified,heading_observed_not_scan_verified,"Compare every verse, explanation, named entry and commentary point with source. A citation range overlap is not proof that all content is spoken.",
Adi025,1,25,MAHABHARATA-1-AADIPARVA-_djvu (1).txt,16679,17147,(ಕಾಶ್ಯಪರಿಂದ ವಾಲಖಿಲ್ಯರ ಸಾಂತ್ಸನ. ಕಾಶ್ಯಪರ ವಚನದಂತೆ ಹಿಮಾಲಯದಲ್ಲಿ ಗರುಡನಿಂದ ಶಾಖೆಯ ಮೋಚನ. ವಾಲಖಿಲೃರಿಗೆ ಇಂದ್ರನು ಮಾಡಿದ ಅಪರಾಧ. ಅಮೃತ ರಕ್ಷಣೆಗಾಗಿ ದೇವತೆಗಳ ಪ್ರಯತ್ನ),G08-S08 | G08-S09,source-linked narrative draft; passage completeness NOT certified,heading_observed_not_scan_verified,"Compare every verse, explanation, named entry and commentary point with source. A citation range overlap is not proof that all content is spoken.",
Adi026,1,26,MAHABHARATA-1-AADIPARVA-_djvu (1).txt,17148,17457,(ಗರುಡನ ಉತ್ಪತ್ತಿಗೆ ಕಾರಣವನ್ನುಕುರಿತು ಶೌನಕರ ಪ್ರಶ್ನೆ ಮತ್ತು ಸೂತರ ಉತ್ತರ.),G09-S01 | G09-S02,source-linked narrative draft; passage completeness NOT certified,heading_observed_not_scan_verified,"Compare every verse, explanation, named entry and commentary point with source. A citation range overlap is not proof that all content is spoken.",
Adi027,1,27,MAHABHARATA-1-AADIPARVA-_djvu (1).txt,17458,17698,(ಗರುಡನ ಜೊತೆಯಲ್ಲಿ ಯುದ್ಧಮಾಡಿದ ದೇವತೆಗಳ ಮತ್ತು ಅಮೃತರಕ್ಷಕರ  ಪರಾಭವ.),G09-S03,source-linked narrative draft; passage completeness NOT certified,heading_observed_not_scan_verified,"Compare every verse, explanation, named entry and commentary point with source. A citation range overlap is not proof that all content is spoken.",
Adi028,1,28,MAHABHARATA-1-AADIPARVA-_djvu (1).txt,17699,17942,"(ಯಂತ್ರವನ್ನು ಭೇದಿಸಿ ಗರುಡನಿಂದ ಅಮೃತಹರಣ. ವಿಷ್ಣುಗರುಡರ ಸಂವಾದ, ಗರುಡನಲ್ಲಿವಜ್ರದ ವೈಫಲ್ಯ.)",G09-S04 | G09-S05 | G09-S06,source-linked narrative draft; passage completeness NOT certified,heading_observed_not_scan_verified,"Compare every verse, explanation, named entry and commentary point with source. A citation range overlap is not proof that all content is spoken.",
Adi029,1,29,MAHABHARATA-1-AADIPARVA-_djvu (1).txt,17943,18182,"(ಇಂದ್ರಗರುಡಸಂವಾದ, ಅವರ ಸ್ನೇಹ, ಇಂದ್ರನಿಗೆ ವರದಾನ, ಗರುಡಕಥಾ ಸಮಾಪ್ತಿ.)",G09-S06 | G09-S07,source-linked narrative draft; passage completeness NOT certified,heading_observed_not_scan_verified,"Compare every verse, explanation, named entry and commentary point with source. A citation range overlap is not proof that all content is spoken.",
Adi030,1,30,MAHABHARATA-1-AADIPARVA-_djvu (1).txt,18183,18349,(ಸರ್ಪಗಳ ವಂಶವಿಸ್ತಾರ) ದ,G09-S08,source-linked narrative draft; passage completeness NOT certified,heading_observed_not_scan_verified,"Compare every verse, explanation, named entry and commentary point with source. A citation range overlap is not proof that all content is spoken.",
Adi031,1,31,MAHABHARATA-1-AADIPARVA-_djvu (1).txt,18350,18631,(ಸರ್ಪಗಳ ದುರ್ನಡತೆಯಿಂದ ತಪ್ಪರಾದ ಶೇಷದೇವರ ತಪಸ್ಸು. ಬ್ರಹ್ಮದೇವರ ವರದಿಂದ ಗರುಡನ ಜೊತೆಯಲ್ಲಿಸಖ್ಯ. ಭೂಮಿಯ ವಿವರದಲ್ಲಿಳಿದು ಭೂಮಿಯ   ಧಾರಣೆ.),G09-S09,source-linked narrative draft; passage completeness NOT certified,heading_observed_not_scan_verified,"Compare every verse, explanation, named entry and commentary point with source. A citation range overlap is not proof that all content is spoken.",
Adi032,1,32,MAHABHARATA-1-AADIPARVA-_djvu (1).txt,18632,19021,(ತಾಯಿಯ ಶಾಪದ ಪರಿಹಾರಕ್ಕಾಗಿ ಸರ್ಪಗಳ ಜೊತೆಯಲ್ಲಿ ವಾಸುಕಿಯ ಮಂತ್ರಾಲೋಚನೆ. ಸರ್ಪಯಾಗವನ್ನು ನಿವಾರಿಸಲು ಸರ್ಪಗಳಿಂದ ಬೇರೆಬೇರೆ ಉಪಾಯಗಳ ಸೂಚನೆ.),G09-S10,source-linked narrative draft; passage completeness NOT certified,heading_observed_not_scan_verified,"Compare every verse, explanation, named entry and commentary point with source. A citation range overlap is not proof that all content is spoken.",
Adi033,1,33,MAHABHARATA-1-AADIPARVA-_djvu (1).txt,19022,19871,(ಏಲಾಪತ್ರನೆಂಬ ನಾಗನಿಂದ ಶಾಪಮೋಕ್ಟೋಪಾಯ ಸೂಚನೆ.),G09-S11 | G10-S01 | G10-S02 | G10-S03,source-linked narrative draft; passage completeness NOT certified,uncertain_interleaved_shared_envelope,"Compare every verse, explanation, named entry and commentary point with source. A citation range overlap is not proof that all content is spoken.","Source OCR interleaves/reorders printed pages336–355, affecting chapters33–36. Envelope is conservative; ordered_candidate_spans reconstruct chapter flow from printed page headers and colophons, not from page scans. Use candidates for reading, verify against scans before claiming clean full transcription."
Adi034,1,34,MAHABHARATA-1-AADIPARVA-_djvu (1).txt,19022,19871,(ಏಲಾಪತ್ರನ ವಚನದಂತೆ ವಾಸುಕಿಯಿಂದ ತಂಗಿಯ ರಕ್ಷಣೆ. ದೇವತೆಗಳಿಗೆ  ಬ್ರಹ್ಮದೇವರ ಹಿತವಚನ.),G09-S11 | G10-S01 | G10-S02 | G10-S03,source-linked narrative draft; passage completeness NOT certified,uncertain_interleaved_shared_envelope,"Compare every verse, explanation, named entry and commentary point with source. A citation range overlap is not proof that all content is spoken.","Source OCR interleaves/reorders printed pages336–355, affecting chapters33–36. Envelope is conservative; ordered_candidate_spans reconstruct chapter flow from printed page headers and colophons, not from page scans. Use candidates for reading, verify against scans before claiming clean full transcription."
Adi035,1,35,MAHABHARATA-1-AADIPARVA-_djvu (1).txt,19022,19871,(ಪರೀಕ್ಷಿತನ ಕಥೆ. ಶಮೀಕರ ಕುತ್ತಿಗೆಯಲ್ಲಿ ಮೃತಸರ್ಪದ ಪ್ರಕ್ಷೇಪ.),G09-S11 | G10-S01 | G10-S02 | G10-S03,source-linked narrative draft; passage completeness NOT certified,uncertain_interleaved_shared_envelope,"Compare every verse, explanation, named entry and commentary point with source. A citation range overlap is not proof that all content is spoken.","Source OCR interleaves/reorders printed pages336–355, affecting chapters33–36. Envelope is conservative; ordered_candidate_spans reconstruct chapter flow from printed page headers and colophons, not from page scans. Use candidates for reading, verify against scans before claiming clean full transcription."
Adi036,1,36,MAHABHARATA-1-AADIPARVA-_djvu (1).txt,19022,19871,(ಪುತ್ರನ ಶಾಪಪ್ರದಾನವನ್ನು ಕೇಳಿದ ತಂದೆಯಾದ ಶಮೀಕರ ಅಸಂತೋಷ ಮತ್ತು ಶೃಂಗಿಯನ್ನು ಕುರಿತು ಉಪದೇಶ.),G09-S11 | G10-S01 | G10-S02 | G10-S03,source-linked narrative draft; passage completeness NOT certified,uncertain_interleaved_shared_envelope,"Compare every verse, explanation, named entry and commentary point with source. A citation range overlap is not proof that all content is spoken.","Source OCR interleaves/reorders printed pages336–355, affecting chapters33–36. Envelope is conservative; ordered_candidate_spans reconstruct chapter flow from printed page headers and colophons, not from page scans. Use candidates for reading, verify against scans before claiming clean full transcription."
Adi037,1,37,MAHABHARATA-1-AADIPARVA-_djvu (1).txt,19872,20275,(ತಂದೆಯಿಂದ ಶೃಂಗಿಗೆ ಮುಂದುವರೆದ ಉಪದೇಶ. ಶಿಷ್ಯನಿಂದ ರಾಜನಿಗೆ ವಾರ್ತಾಹರಣ. ತಕ್ಷಕ ಮತ್ತು ಕಾಶ್ಯಪಬ್ರಾಹ್ಮಣರ ಸಂವಾದ.),G10-S03 | G10-S04 | G10-S05 | G10-S06,source-linked narrative draft; passage completeness NOT certified,heading_observed_not_scan_verified,"Compare every verse, explanation, named entry and commentary point with source. A citation range overlap is not proof that all content is spoken.",
Adi038,1,38,MAHABHARATA-1-AADIPARVA-_djvu (1).txt,20276,20582,(ತಕ್ಷಕನಿಂದ ಕಾಶ್ಯಪ ಪರೀಕ್ಷೆ. ಧನವನ್ನು ಕೊಟ್ಟು ಅವನ ನಿವರ್ತನೆ. ಫಲದಲ್ಲಿ ಕ್ರಿಮಿರೂಪದಿಂದ ಪ್ರವೇಶಿಸಿ ರಾಜನ ಕಂಠವೇಷ್ಟನೆ.),G10-S06 | G10-S07,source-linked narrative draft; passage completeness NOT certified,heading_observed_not_scan_verified,"Compare every verse, explanation, named entry and commentary point with source. A citation range overlap is not proof that all content is spoken.",
Adi039,1,39,MAHABHARATA-1-AADIPARVA-_djvu (1).txt,20583,20720,(ಪರೀಕ್ಬಿತನ ಮರಣ. ಜನಮೇಜಯನ ರಾಜ್ಯಾಭಿಷೇಕ. ವಪುಷ್ಪಮಯ ಜೊತೆಯಲ್ಲಿವಿವಾಹ.),G10-S08,source-linked narrative draft; passage completeness NOT certified,heading_observed_not_scan_verified,"Compare every verse, explanation, named entry and commentary point with source. A citation range overlap is not proof that all content is spoken.",
Adi040,1,40,MAHABHARATA-1-AADIPARVA-_djvu (1).txt,20721,21038,( ಕ ಲ “ ),G10-S09,source-linked narrative draft; passage completeness NOT certified,heading_observed_not_scan_verified,"Compare every verse, explanation, named entry and commentary point with source. A citation range overlap is not proof that all content is spoken.",
Adi041,1,41,MAHABHARATA-1-AADIPARVA-_djvu (1).txt,21039,21260,(ಪಿತೃಗಳ ಮಾತಿನಂತೆ ಜರತ್ಕಾರುವಿನ ಕನ್ಯಾನ್ಹೇಷಣೆ. ವಿವಾಹದಲ್ಲಿ ಸಮಯಬಂಧ.),G10-S10,source-linked narrative draft; passage completeness NOT certified,heading_observed_not_scan_verified,"Compare every verse, explanation, named entry and commentary point with source. A citation range overlap is not proof that all content is spoken.",
