block_id,file,line_start,line_end,chapter_ids,linked_scene_ids,source_text,retention_status,adaptation_verification,source_layer_candidate
V1L00108,MAHABHARATA-1-AADIPARVA-_djvu (1).txt,108,108,,I1-S01 | FF01-S01,ಪುಟಗಳು LXXXVI + 628= 714 ,retained_verbatim_OCR,not_sentence_verified,unclassified_source_block
V1L00111,MAHABHARATA-1-AADIPARVA-_djvu (1).txt,111,112,,I1-S01 | FF01-S01,"ಮುದ್ರಿತ ಪ್ರತಿಗಳು 1000 
ಬೆಲೆ - ರೂ. 425/- ",retained_verbatim_OCR,not_sentence_verified,unclassified_source_block
V1L00115,MAHABHARATA-1-AADIPARVA-_djvu (1).txt,115,115,,I1-S01 | FF01-S01,"ಅನುವಾದಕರು -  ವಿದ್ದಾನ್‌ ಪಿ.ಎಸ್‌. ಶೇಷಗಿರಿ ಆಚಾರ್ಯ, ",retained_verbatim_OCR,not_sentence_verified,unclassified_source_block
V1L00118,MAHABHARATA-1-AADIPARVA-_djvu (1).txt,118,120,,I1-S01 | FF01-S01,"ಲ 
ಪ್ರಕಾಶಕರು -  ತತ್ಸಸಂಶೋಧನಸಂಸತ್‌, ಪಲಿಮಾರು ಮಠ, 
ಉಡುಪಿ. ",retained_verbatim_OCR,not_sentence_verified,unclassified_source_block
V1L00123,MAHABHARATA-1-AADIPARVA-_djvu (1).txt,123,123,,I1-S01 | FF01-S01,ಪುಟ ಸಂಯೋಜನೆ... - ಎಂ. ಶರತ್‌ ಚಂದ್ರ ,retained_verbatim_OCR,not_sentence_verified,unclassified_source_block
V1L00126,MAHABHARATA-1-AADIPARVA-_djvu (1).txt,126,128,,I1-S01 | FF01-S01,"ಅಕ್ಬರ ಜೋಡಣೆ -  ಬೆಮತ್ತಿ ಶ್ರೀನಿವಾಸ ಮತ್ತು ಶ್ರೀಮತಿ ಎಸ್‌. ನಾಗಲತಾ 
ಮುದ್ರಕರು - ಪವನ್‌ ಪ್ರಿಂಟರ್ಸ್‌. ಬೆಂಗಳೂರು 
ಇ : 96864 89131 ",retained_verbatim_OCR,not_sentence_verified,unclassified_source_block
V1L00131,MAHABHARATA-1-AADIPARVA-_djvu (1).txt,131,131,,I1-S01 | FF01-S01,"ಗ್ರಂಥಪ್ರಾಪ್ತಿ - ಪಲಿಮಾರು ಮಠ, ಉಡುಪಿ. ",retained_verbatim_OCR,not_sentence_verified,unclassified_source_block
V1L00134,MAHABHARATA-1-AADIPARVA-_djvu (1).txt,134,134,,I1-S01 | FF01-S01,ನವನವಗುಣಸಾಂದ್ರಂ ನೌಮಿ ಮಧ್ವಾಖ್ಯಚಂದ್ರಂ ,retained_verbatim_OCR,not_sentence_verified,unclassified_source_block
V1L00137,MAHABHARATA-1-AADIPARVA-_djvu (1).txt,137,137,,I1-S01 | FF01-S01,ಶ್ರೀಮದ್ದಾದಿರಾಜಕೇಸರಿಣೇ ನಮಃ ,retained_verbatim_OCR,not_sentence_verified,unclassified_source_block
V1L00140,MAHABHARATA-1-AADIPARVA-_djvu (1).txt,140,140,,I1-S01 | FF01-S01,ವಿದ್ಯಾಮಾನ್ಯಾನ್ನುನೀನ್ನುಮಃ ,retained_verbatim_OCR,not_sentence_verified,unclassified_source_block
V1L00143,MAHABHARATA-1-AADIPARVA-_djvu (1).txt,143,145,,I1-S01 | FF01-S01,"ಜಗದ್ಗುರು ಶ್ರೀಮನ್ನಧ್ಧಾಚಾರ್ಯಮೂಲಮಹಾಸಂಸ್ಥಾನಮ್‌ 
ಪರಮಪೂಜ್ಯ ಶ್ರೀಶ್ರೀವಿಶ್ಲೇಶತೀರ್ಥ ಶ್ರೀಪಾದರು 
ಶ್ರೀ ಪೇಜಾವರ ಅಧೋಕ್ಷಜ ಮಠ, ರಥಬೀದಿ, ಉಡುಪಿ. ",retained_verbatim_OCR,not_sentence_verified,unclassified_source_block
V1L00148,MAHABHARATA-1-AADIPARVA-_djvu (1).txt,148,148,,I1-S02 | FF01-S02,ಅನುಗ್ರಹ ಸಂದೇಶ ,retained_verbatim_OCR,not_sentence_verified,unclassified_source_block
V1L00151,MAHABHARATA-1-AADIPARVA-_djvu (1).txt,151,158,,I1-S02 | FF01-S02,"ಜಗತ್ತಿನ ಆಧ್ಯಾತ್ಮಿಕ ಮತ್ತು ಧಾರ್ಮಿಕ ತತ್ವಗಳನ್ನು ಅರಿಯಲು ನಮಗೆ ಇರುವ 
ಮುಖ್ಯ ಪ್ರಮಾಣಗಳು ವೇದ-ಉಪನಿಷತ್ತುಗಳು ಮತ್ತು ಮಹಾಭಾರತ ಹಾಗೂ 
ಬ್ರಹ್ಮಸೂತ್ರಗಳು. ಯಾವ ವ್ಯಕ್ತಿಯೂ ನಿರ್ಮಿಸದಿರುವ ಅಪೌರುಷೇಯಗಳಾದ 
ವೇದೋಪನಿಷತ್ತುಗಳ ಸಂದೇಶದಲ್ಲಿ ನಾವು ಸಂದೇಹ ಪಡಲು ಅವಸರವೇ ಇಲ್ಲ. 
ವ್ಯಕ್ತಿಯ ಬೌದ್ಧಿಕದೌರ್ಬಲ್ಯವೆನಿಸಿದ ಭ್ರಾಂತಿ ಅಜ್ಞಾನಗಳಿಂದ ಅವನು ನಿರ್ಮಿಸಿದ 
ಗ್ರಂಥದಲ್ಲಿಯೂ ದೋಷಗಳು ಸಂಭವಿಸಲು ಸಾಧ್ಯ. ವ್ಯಕ್ತಿಯ ಬುದ್ಧಿಯನ್ನೇ 
ಮೀರಿನಿಂತ ಅಪೌರುಷೇಯ ವೇದೋಪನಿಷತ್ತುಗಳಲ್ಲಿ ಯಾವ ಬೌದ್ದಿಕ 
ದೋಷಗಳ ಪ್ರತಿಫಲನವೂ ಇರಲು ಸಾಧ್ಯವಿಲ್ಲ. | ",retained_verbatim_OCR,not_sentence_verified,unclassified_source_block
V1L00161,MAHABHARATA-1-AADIPARVA-_djvu (1).txt,161,171,,I1-S02 | FF01-S02,"ಅದರಂತೆಯೇ ಸರ್ವಜ್ಞನಾದ ಭಗವಂತನೇ ವೇದವ್ಯಾಸರೂಪದಲ್ಲಿ 
ಅವತರಿಸಿ ರಚಿಸಿದ ಮಹಾಭಾರತವೂ ಪರಮ ಪ್ರಮಾಣವೆನಿಸಿದೆ. ಭಗವಂತನ 
ಅನಂತ ವಿಶಾಲ ಜ್ಞಾನದಲ್ಲಿ ವೇದಗಳಲ್ಲಿ ಹೇಳದ ಅಪೂರ್ವ ವಿಷಯಗಳೂ 
ಗೋಚರವಾಗುತ್ತವೆ. ಅಂತಹ ಪರಮಾತ್ಮನೇ ರಚಿಸಿದ ಮಹಾಭಾರತದಲ್ಲಿಲ್ಲದ 
ಸತ್ಯವನ್ನು ಮತ್ತೆಲ್ಲಿ ಕಾಣಲು ಸಾಧ್ಯ? ಈ ಎಲ್ಲ ಪ್ರಮಾಣ ಗ್ರಂಥಗಳ 
ನಿಜಾರ್ಥವನ್ನು ತಿಳಿಯಲು ವೇದವ್ಯಾಸರೇ ರಚಿಸಿದ ಸರ್ವಶಾಸ್ತ್ರ 
ನಿರ್ಣಾಯಕವಾದ ಬ್ರಹ್ಮಸೂತ್ರಗಳ ಅವಶ್ಯಕತೆಯೂ ಇದೆ. ಹಿಡಿಯಿಲ್ಲದ ಕತ್ತಿ 
ಕೊಡಲಿಗಳಿಂದ ಯಾವುದನ್ನೂ ಛೇದಿಸಲು ಶಕ್ಕವಾಗದಂತೆ ಬ್ರಹ್ಮಸೂತ್ರದ 
ಹಿಡಿಯಿಲ್ಲದ ಪ್ರಮಾಣ ಗ್ರಂಥಗಳಿಂದ ನಮ್ಮ ಅಜ್ಞಾನವನ್ನು ಛಿನ್ನ ಭಿನ್ನಗೊಳಿಸಲು 
ಸಾಧ್ಯವಿಲ್ಲ. ಈ ರೀತಿಯಲ್ಲಿ ವೇದ, ಮಹಾಭಾರತ, ಬ್ರಹ್ಮಸೂತ್ರವೆಂಬ 
ಮಹಾಗ್ರಂಥಗಳು ನಮ್ಮ ಅಧ್ಯಾತ್ಮ ದರ್ಶನಕ್ಕೆ ಅತ್ಯಾವಶ್ಯಕವಾಗಿದೆ. ",retained_verbatim_OCR,not_sentence_verified,unclassified_source_block
V1L00174,MAHABHARATA-1-AADIPARVA-_djvu (1).txt,174,174,,I1-S02 | FF01-S02,ಆದಿಪರ್ವ IX ,retained_verbatim_OCR,not_sentence_verified,unclassified_source_block
V1L00177,MAHABHARATA-1-AADIPARVA-_djvu (1).txt,177,181,,I1-S02 | FF01-S02,"ಇವುಗಳಲ್ಲಿ ಮಹೋನ್ನತಗ್ರಂಥವೆನಿಸಿದ ಮಹಾಭಾರತ ಗ್ರಂಥಕ್ಕೆ ಸಂಬಂಧಿಸಿದ 
ಅಷ್ಟಮಠದ ಪ್ರಾಚೀನ ಪ್ರತಿಗಳಲ್ಲಿರುವ ಪಾಠಗಳನ್ನು ಇತರ ಮುದ್ರಿತ 
ಪುಸ್ತಕದಲ್ಲಿರುವ ಪಾಠಗಳನ್ನು ಅನೇಕ ವಿದ್ದಾಂಸರ ಸಹಕಾರದಿಂದ ಗುರುತಿಸಿ 
ಶ್ರೀ ವಿದ್ಯಾಧೀಶತೀರ್ಥ ಶ್ರೀಪಾದರು ಮಹಾಭಾರತದ ಶುದ್ಧಪಾಠವನ್ನು 
ಸಮಾಜಕ್ಕೆ ಅರ್ಪಿಸುತ್ತಿದ್ದಾರೆ. ",retained_verbatim_OCR,not_sentence_verified,unclassified_source_block
V1L00183,MAHABHARATA-1-AADIPARVA-_djvu (1).txt,183,194,,I1-S02 | FF01-S02,"ಶ್ರೀಮಧ್ವಾಚಾರ್ಯರ ಕಾಲದಲ್ಲಿಯೇ ಮಹಾಭಾರತ ಪಾಠದಲ್ಲಿ ಬಹಳಷ್ಟು 
ವಿಕೃತಿಗಳಾಗಿವೆ. ಪಾಠಗಳ ಲೋಪ, ವ್ಯತ್ಯಾಸ, ಪ್ರಕ್ಷೇಪಗಳ ಗೊಂದಲ ಸಾಕಷ್ಟು 
ನಡೆದಿವೆ. ಶುದ್ಧಪಾಠದ ಕೋಟ್ಯಾಂಶವೂ ಇಲ್ಲವೆಂದು ಆಚಾರ್ಯರೇ 
ಹೇಳಿದ್ದಾರೆ. ಬೇರೆ ಬೇರೆ ಪ್ರದೇಶಗಳಲ್ಲಿರುವ ಅನೇಕ ಗ್ರಂಥಗಳನ್ನು ಪರಿಶೀಲಿಸಿ 
ಶ್ರೀ ವೇದವ್ಯಾಸರು ಹೇಗೆ ಹೇಳಿದ್ದಾರೋ ಅದೇ ರೀತಿಯ ಅಧಿಕೃತ ಗ್ರಂಥವನ್ನು 
ಶ್ರೀಮಧ್ವಾಚಾರ್ಯರು ಸಂಶೋಧಿಸಿ ಅದಕ್ಕೆ ಅನುಗುಣವಾಗಿ ಮಹಾಭಾರತ 
ತಾತ್ಪರ್ಯ ನಿರ್ಣಯವನ್ನು ರಚಿಸಿದ್ದಾರೆ. ಇನ್ನೂ ಸಾಕಷ್ಟು ಪ್ರಕ್ಷೇಪ ವಿಕ್ಷೇಪಗಳು 
ಆಗಿವೆ. ಆದುದರಿಂದ ಶ್ರೀಮಧ್ವಾಚಾರ್ಯರ ತಾತ್ಪರ್ಯ ನಿರ್ಣಯ, ಶ್ರೀ 
ವಾದಿರಾಜರ ಲಕ್ಷಾಭರಣ ಗ್ರಂಥಗಳನ್ನು ಆಧರಿಸಿ ಸರಿಯಾದ ಪಾಠ 
ಸಂಶೋಧನೆಯ ಕಾರ್ಯವು ಆಗಬೇಕಾಗಿದೆ. ಶ್ರೀಪಾದರು ಇವುಗಳ 
ಸಂಯೋಜನೆಯ ಜೊತೆಯಲ್ಲಿ ಹಮ್ಮಿಕೊಂಡಿರುವ ಪಾಠ ಸಮೀಕ್ಷಾತ್ಮಕವಾದ 
ಸಂಶೋಧನಾತ್ಮಕವಾದ ಈ ಸತ್ಸರ್ಮವು ಅತ್ಯಂತ ಶ್ಲಾಘನೀಯವಾಗಿದೆ. ",retained_verbatim_OCR,not_sentence_verified,commentary_heading
V1L00197,MAHABHARATA-1-AADIPARVA-_djvu (1).txt,197,203,,I1-S02 | FF01-S02,"ನಮ್ಮ ವಿದ್ಯಾಗುರುಗಳಾದ ಶ್ರೀ ಶ್ರೀ ವಿದ್ಯಾಮಾನ್ಯತೀರ್ಥರ ಮೂಲಪಾಠ 
ಶೋಧನೆಯ ಕನಸು ಶ್ರೀ ವಿದ್ಯಾಧೀಶತೀರ್ಥ ಶ್ರೀಪಾದರ ಮೂಲಕ ನನಸಾಗಿದೆ. 
ಈ ಯೋಜನೆಯು ಪೂರ್ಣತೆಯನ್ನು ಪಡೆಯಲಿ ಎಂದು ಭಗವಂತನಲ್ಲಿ 
ಪ್ರಾರ್ಥಿಸುತ್ತೇವೆ. ಇದರಲ್ಲಿ ಪರಿಶ್ರಮವಹಿಸಿದ ವಿದ್ವಾನ್‌ ಪಿ.ಎಸ್‌. ಶೇಷಗಿರಿ 
ಆಚಾರ್ಯರಿಗೂ ಮತ್ತು ಅನೇಕ ವಿದ್ವಾಂಸರಿಗೂ ಶ್ರೀಹರಿವಾಯುಗುರುಗಳ 
ಅನುಗ್ರಹವನ್ನು ಬಯಸಿ ಈ ಕೃತಿಯು ಸಮಸ್ತ ಜಿಜ್ಞಾಸುಗಳಿಗೂ 
ದೊರಕುವಂತಾಗಲೆಂದು ಅಪೇಕಿಸುತ್ತೇವೆ. ",retained_verbatim_OCR,not_sentence_verified,unclassified_source_block
V1L00205,MAHABHARATA-1-AADIPARVA-_djvu (1).txt,205,205,,I1-S02 | FF01-S02,ನಾರಾಯಣ ಸ್ನರಣೆಗಳು ,retained_verbatim_OCR,not_sentence_verified,unclassified_source_block
V1L00208,MAHABHARATA-1-AADIPARVA-_djvu (1).txt,208,209,,I1-S02 | FF01-S02,"ಶ್ರೀ ಶ್ರೀ ವಿಶ್ವೇಶತೀರ್ಥ ಶ್ರೀಪಾದಂಗಳವರು 
ಶ್ರೀ ಪೇಜಾವರ ಅಧೋಕ್ಷಜ ಮಠ, ಉಡುಪಿ. ",retained_verbatim_OCR,not_sentence_verified,unclassified_source_block
V1L00212,MAHABHARATA-1-AADIPARVA-_djvu (1).txt,212,213,,I1-S02 | FF01-S02,"ಜಗದ್ಗುರು ಶ್ರೀಮನ್ನಧ್ಧಾಚಾರ್ಯಮೂಲಮಹಾಸಂಸ್ಥಾನಮ್‌ 
ಪರಮಪೂಜ್ಯ ಶ್ರೀಶ್ರಿ ವವಿಶ್ವಪಿ ಹ್ರಿಯತೀರ್ಥ ಶ್ರೀಪಾದರು ",retained_verbatim_OCR,not_sentence_verified,unclassified_source_block
V1L00216,MAHABHARATA-1-AADIPARVA-_djvu (1).txt,216,216,,I1-S02 | FF01-S02,"ಶ್ರೀ ಅದಮಾರು ಮಠ, ರಥಬೀದಿ, ಉಡುಪಿ. ",retained_verbatim_OCR,not_sentence_verified,unclassified_source_block
V1L00219,MAHABHARATA-1-AADIPARVA-_djvu (1).txt,219,219,,I1-S02 | FF01-S03,ಅನುಗ್ರಹ ಸಂದೇಶ ,retained_verbatim_OCR,not_sentence_verified,unclassified_source_block
V1L00222,MAHABHARATA-1-AADIPARVA-_djvu (1).txt,222,225,,I1-S02 | FF01-S03,"ಶಬ್ದ ಅರ್ಥ ಎರಡರಲ್ಲೂ ಗುರುಭೂತವಾದ ಗ್ರಂಥ. ಆದ್ದರಿಂದ ಇದಕ್ಕೆ 
ಮಹಾಭಾರತ ಎಂದು ಹೆಸರು. ಈ ಗ್ರಂಥವು ಒಳಗೊಳ್ಳದ ವಿಷಯವಿಲ್ಲ. 
ಮಹಾಭಾರತದಲ್ಲಿ ಒಂದು ವಸ್ತುವಿನ ಪರಿಚಯ ಇಲ್ಲ ಅಂದರೆ ಆ ವಸ್ತು 
ಜಗತ್ತಿನಲ್ಲಿ ಎಲ್ಲಿಯೂ ಇಲ್ಲ ಎಂದರ್ಥ. ",retained_verbatim_OCR,not_sentence_verified,unclassified_source_block
V1L00228,MAHABHARATA-1-AADIPARVA-_djvu (1).txt,228,236,,I1-S02 | FF01-S03,"ಸಾತಿಕ ಜೀವರಾಶಿಗಳಿಗೆ ಸರಿಯಾದ ತಿಳುವಳಿಕೆ ಬರಬೇಕು. ಅವರು 
ಉದ್ಭೃತರಾಗಬೇಕು. ಸ್ವರೂಪದಲ್ಲಿ ಯೋಗ್ಯತೆ ಇದ್ದರೂ ದೈಹಿಕವಾಗಿ ಕೆಲವರಿಗೆ 
ವೇದಾಧ್ಯಯನದ ಮೂಲಕ ಮೇಲೇರಲು ಅಸಾಧ್ಯ. ಉದಾ- ಸ್ತ್ರೀಯರು, 
ಶೂದ್ರರು. ಜನ್ನಾಂತರದಲ್ಲಿ ಉತ್ತಮ ವರ್ಣದವರಾಗಿಯೋ ಪುರುಷರಾಗಿಯೋ 
ಹುಟ್ಟಿ ಅಧ್ಯಯನ ಮಾಡಬಹುದು. ಆದರೆ ಈ ಜನ್ಮ ವ್ಯರ್ಥವಾಗಬಾರದು. 
ಅದಕ್ಕಾಗಿ ವೇದವ್ಯಾಸರು ರಚಿಸಿದ ಗ್ರಂಥವೇ ಮಹಾಭಾರತ. ಇದಕ್ಕೆ 
ಪಂಚಮವೇದ ಎಂದು ಹೆಸರು. ಈ ಗ್ರಂಥಕ್ಕೆ ಸ್ವ್ರೀ-ಶೂದ್ರರೂ ಅಧಿಕಾರಿಗಳು. 
ತಥಾಚ ಎಲ್ಲಾ ವಿಷಯಗಳನ್ನೂ ಒಳಗೊಂಡ ಎಲ್ಲರಿಗೂ ಎಟಕುವ ಗ್ರಂಥ 
ಎಂಬುದು ಇದರ ಮಹತ್ವ. ",retained_verbatim_OCR,not_sentence_verified,unclassified_source_block
V1L00239,MAHABHARATA-1-AADIPARVA-_djvu (1).txt,239,242,,I1-S02 | FF01-S03,"ಮೇಲ್ನೋಟಕ್ಕೆ ಈ ಗ್ರಂಥವನ್ನು ನೋಡಿದಾಗ ಆಸ್ತಿಗಾಗಿ ಅಣ್ಣತಮ್ಮಂದಿರಲ್ಲಿ 
ನಡೆದ ಜಗಳವಾಗಿ ತೋರುತ್ತದೆ. ಇಷ್ಟೇ ಆಗಿದ್ದರೆ ಮಹತ್ವ ಬರುತ್ತಿರಲಿಲ್ಲ. 
ಆಚಾರ್ಯ ಮಧ್ದರ ಆಧ್ಯಾತ್ಮಿಕ ಪರವಾಗಿ ಅರ್ಥಮಾಡಿ ಇದರ ಮಹತ್ವವನ್ನು 
ಶಿಖರಕ್ಕೆ ಏರಿಸಿದ್ದಾರೆ. ಆದ್ದರಿಂದ ಪ್ರತಿಯೊಬ್ಬರು ಅಭ್ಯಸಿಸಬೇಕಾದ ಗ್ರಂಥವಿದು. ",retained_verbatim_OCR,not_sentence_verified,unclassified_source_block
