chapter_id,subject,current_remaining_detail_or_uncertainty,status,detailed_register
Adi011,Grass-snake prank; Khagama’s curse; release and ahimsa teaching,Complete curse-remission dialogue and the full ahimsa/truth/forbearance/role-specific duty teaching. Do not reduce the teaching to one modern slogan.,not_certified_unabridged,chapter_inventory_01_63.json
Adi012,Ruru asks about Astika; Dundubha vanishes; question goes to father,"All frame-transition wording and the exact promise of later hearing. Main event retained, verse-level audit pending.",not_certified_unabridged,chapter_inventory_01_63.json
Adi013,Preliminary Astika narrative; Jaratkaru ancestors and marriage promise; rescue preview,The source’s first full preliminary summary is distributed across later expansion scenes rather than spoken verbatim here. Need a clearly marked synopsis reading preserving all anticipations and the initial name/asceticism explanations.,not_certified_unabridged,chapter_inventory_01_63.json
Adi014,Kadru/Vinata boons; eggs; premature Aruna; bondage prediction,Exact waiting periods and numeric egg chronology; full Aruna curse/remedy wording and solar-charioteer explanation. Major events retained.,not_certified_unabridged,chapter_inventory_01_63.json
Adi015,Horse wager opens churning question; divine counsel; inserted Madhva churning exposition,"Large commentary span13714-14103 needs complete separately labeled narration: Vishnu’s roles, Vayu/Rudra poison details, gifts, Mohini, Rahu and interpretive explanations. Current commentary scene is only an attributed summary.",not_certified_unabridged,chapter_inventory_01_63.json
Adi016,Mandara/Vasuki/tortoise setup; poison; ecological damage; treasures; Mohini,"Exact dimensions, lifting agency, sea’s requested share, who holds each end of Vasuki, full poison sequence, all damage/restoration verses, emergence order and full treasure inventory; verify main text vs prior commentary lists.",not_certified_unabridged,chapter_inventory_01_63.json
Adi017,Deva amrita drinking; Rahu; devas/asuras battle; Mandara restored,"Detailed battle sequence, named fighters, Narayana/Nara roles, weapons and mountain returns, full Rahu rationale and protection assignment. One scene is insufficient for unabridged battle coverage.",not_certified_unabridged,chapter_inventory_01_63.json
Adi018,Kadru’s demand for serpent deception; curse and Brahma approval,Full explanation for Brahma approving destruction of harmful serpents; Kashyapa’s consolation and Karkotaka’s specific response. Major curse/action retained.,not_certified_unabridged,chapter_inventory_01_63.json
Adi019,Kadru/Vinata cross toward the horse; extended ocean description,"Almost all detailed ocean imagery, inhabitants, sacred associations and descriptive comparisons are summarized. Requires a dedicated narrated landscape passage, not merely a richer image prompt.",not_certified_unabridged,chapter_inventory_01_63.json
Adi020,Wager lost; Vinata enslaved; Garuda hatches; divine praise and radiance reduction,"Complete Garuda hymn, Agni/deva explanation and scale reduction wording; repeated OCR endings around15645/15731 require scan check. Main events retained.",not_certified_unabridged,chapter_inventory_01_63.json
Adi021,Vinata carries Kadru; Garuda carries serpents; heat; Kadru praises Indra,"Full Indra rain hymn and exact travel geography, mother/carrier arrangement and descriptions of serpent distress.",not_certified_unabridged,chapter_inventory_01_63.json
Adi022,Indra sends rain; serpents recover,Full weather imagery and the effect of the rain on the traveling company. Event retained within a combined scene.,not_certified_unabridged,chapter_inventory_01_63.json
Adi023,Island; bondage inquiry; amrita bargain; food instructions; Nishada feeding,"Island description; full Vinata blessing and instructions; exact Nishada episode scale and source commentary. It must be contextualized, not sanitized or dehumanized.",not_certified_unabridged,chapter_inventory_01_63.json
Adi024,Brahmin and Nishada wife released; elephant/tortoise brothers; banyan branch breaks,"Full property-division debate between Vibhavasu/Supratika, numerical animal dimensions, tree dialogue and Garuda naming explanation. Both spouses’ survival and animal identities retained.",not_certified_unabridged,chapter_inventory_01_63.json
Adi025,Valakhilyas protected; branch released; feeding; celestial omens and defenses,"Complete Kashyapa/Valakhilya exchange, chosen mountain-location details, omens, Brihaspati explanation and guard/weapon inventory. Main causal sequence retained.",not_certified_unabridged,chapter_inventory_01_63.json
Adi026,Indra mocks Valakhilyas; their vow; Kashyapa redirects it toward bird king,"Full ritual context, the exact original vow and redirection, Vinata’s approach and all blessing details. Main event retained as explicit flashback.",not_certified_unabridged,chapter_inventory_01_63.json
Adi027,Garuda defeats deva guardians,"Every named defending group, the sequence of attacks and retreats, dust-clearing action and detailed wounds/weapons. Current fight is a condensed action scene.",not_certified_unabridged,chapter_inventory_01_63.json
Adi028,Fire/wheel/serpent guards; amrita; Vishnu boons; Indra’s vajra,"Exact fire-quenching water quantities/forms, wheel mechanics, two serpent guardians’ defeat, all boon wording and commentary on Vishnu/Garuda relationship. Main obstacles retained in order.",not_certified_unabridged,chapter_inventory_01_63.json
Adi029,Garuda/Indra friendship; food boon; return; kusa; split tongues,"Garuda’s full strength explanation, all Indra arrangement dialogue and kusa sanctification details remain condensed. The food boon that serpents become his food is explicitly retained in EP09-S06.",not_certified_unabridged,chapter_inventory_01_63.json
Adi030,Serpent genealogy and names,Full serpent name list is not narrated or transcribed here. Only a few anchors appear. Requires complete checked name/pronunciation table plus a usable full narration reading.,not_certified_unabridged,chapter_inventory_01_63.json
Adi031,"Shesha’s withdrawal, tapas, Brahma boon and earth-bearing role","All named tapas locations, ascetic practices, exact boon conversation and Garuda friendship statement. Main story retained.",not_certified_unabridged,chapter_inventory_01_63.json
Adi032,Vasuki council debates ways to avert sacrifice,"Each proposed plan and objection in original order, including disguise, ritual sabotage and murder suggestions; complete Vasuki responsibility speech. Draft samples rather than lists every plan.",not_certified_unabridged,chapter_inventory_01_63.json
Adi033,Elapatra reports Brahma’s rescue prophecy,Full remembered Brahma dialogue and distinctions between destructive and righteous serpents. Chapter33-35 OCR page order/colophons are interleaved; reconcile scan before assigning narrower verse citations.,not_certified_unabridged,chapter_inventory_01_63.json
Adi034,Vasuki protects sister; devas seek Brahma reassurance,"Full post-churning deva intercession, Brahma confirmation and continued search arrangements. Shared locator range is deliberate because OCR headings/colophons conflict.",not_certified_unabridged,chapter_inventory_01_63.json
Adi035,Parikshit’s hunt; silent Shamika; dead snake; Shringi informed,"The chapter35 body is partly interleaved into the apparent chapter36 range. Need scan-order restoration and full king description, hunting detail and Krisha/Shringi exchange.",not_certified_unabridged,chapter_inventory_01_63.json
Adi036,Shringi’s curse; father condemns excessive punishment,"Full filial anger dialogue, the exact curse formulation, Shamika’s royal-protection reasoning and all duplicated/interleaved OCR blocks. Main ethical disagreement retained.",not_certified_unabridged,chapter_inventory_01_63.json
Adi037,Shamika teaches restraint; Gauramukha warns; king prepares; healer meets Takshaka,Complete teaching on anger/tapas and kingship; exact warning and remorse speech; all guarded-refuge arrangements; healer’s initial motive dialogue. Main sequence retained.,not_certified_unabridged,chapter_inventory_01_63.json
Adi038,Tree test; healer bribed back; fruit-worm entry; Takshaka attacks,"Full tree restoration progression, healer’s lifespan discernment, precise disguise/gift details and king’s sunset speech; all Takshaka dialogue. Main source path is retained without importing Bhagavata’s riverbank setting.",not_certified_unabridged,chapter_inventory_01_63.json
Adi039,Parikshit dies; funeral; Janamejaya crowned; Vapustama marriage,"Full funeral rites, royal succession detail, bride’s father/negotiation and marriage description; these events deserve separate scenes if full detail is required.",not_certified_unabridged,chapter_inventory_01_63.json
Adi040,Detailed Jaratkaru pilgrimage and ancestor predicament,"Full pilgrimage/tapas descriptions, grass/root/mouse allegory and ancestor dialogue; distinguish this expanded return from chapter13 preliminary telling.",not_certified_unabridged,chapter_inventory_01_63.json
Adi041,Jaratkaru agrees; seeks same-named wife; terms announced,"Every search episode, threefold forest announcement if confirmed, ancestor response and maintenance conditions. Same-name and support conditions retained.",not_certified_unabridged,chapter_inventory_01_63.json
Adi042,Marriage; sunset waking; departure; unborn son assurance,"Complete marriage terms, domestic conduct, wife’s internal debate, husband’s claim about sunset, her rescue-purpose plea and final assurance. Source argument is substantially condensed.",not_certified_unabridged,chapter_inventory_01_63.json
Adi043,"Wife tells Vasuki; Astika born, named and educated","Full sister/brother dialogue, pregnancy/naming wording and education/praise details. Check Bhargava-Chyavana lineage teacher instead of identifying ancient Chyavana automatically.",not_certified_unabridged,chapter_inventory_01_63.json
Adi044,Janamejaya asks ministers about father; character and hunting account,"Full account of Parikshit’s governance/virtues, age and hunting event as retold by ministers. Distinguish this second narrative witness frame from the earlier event depiction.",not_certified_unabridged,chapter_inventory_01_63.json
Adi045,Ministers explain curse/death; wood-gatherer witness; king vows vengeance,Complete inquiry including how evidence became known and the king’s reasoning about treatment obstruction. Wood-gatherer revival witness retained; detailed speeches condensed.,not_certified_unabridged,chapter_inventory_01_63.json
Adi046,Sacrifice commissioned; architect predicts interruption; guards; serpents burn,"Full rite preparation, ground/time-reading rationale, initiation clothing/actions, exact entrant restriction and descriptions of serpent victims. Main commissioning-to-harm sequence retained.",not_certified_unabridged,chapter_inventory_01_63.json
Adi047,Ritual officiant names; Vasuki asks sister to send Astika,All hotr/udgatr/adhvaryu/brahman and assembly names are missing as a complete list; need checked naming/pronunciation and full voice passage. Vasuki appeal condensed.,not_certified_unabridged,chapter_inventory_01_63.json
Adi048,Mother explains naga predicament and mission to Astika,"Entire mother/son question-and-answer, lineage/curse recapitulation and assurance to Vasuki. Only the main mission is currently dramatized.",not_certified_unabridged,chapter_inventory_01_63.json
Adi049,"Astika praises sacrifice, king and priests","Full comparison sequence to earlier royal/divine sacrifices, priest qualities and benedictory refrain; a single entry scene cannot count as complete praise coverage.",not_certified_unabridged,chapter_inventory_01_63.json
Adi050,Boon offer; Takshaka/Indra drawn; Astika asks cessation,"Full royal/ritual consultation, every alternative boon offered, the exact command naming Indra and Takshaka, and Astika’s repeated refusal of substitutes.",not_certified_unabridged,chapter_inventory_01_63.json
Adi051,Named serpents destroyed by lineage,"Complete casualty names and counts by Vasuki/Takshaka/Airavata/Kauravya/Dhritarashtra lineages are missing. This is a casualty list, not the list of survivors; source table and spoken memorial reading required.",not_certified_unabridged,chapter_inventory_01_63.json
Adi052,Three stop commands; sacrifice ends; honors; homecoming; serpent-protection boon,"Full reward recipients, Avabhrtha, future Ashvamedha invitation, all snake-protection formulae and conditional consequences. Main ending and three commands retained.",not_certified_unabridged,chapter_inventory_01_63.json
Adi053,Shaunaka requests Bharata; Vyasa delegates narration to Vaishampayana,"Complete reception rites, questions and source-transmission wording. Frame hierarchy is retained but detailed dialogue abbreviated.",not_certified_unabridged,chapter_inventory_01_63.json
Adi054,Concise full Bharata narrative,Every incident in this chapter’s ordered synopsis remains to be expanded as a full source companion reading. The current paragraph is only a high-level overview; it does not satisfy every-story coverage.,not_certified_unabridged,chapter_inventory_01_63.json
Adi055,Bharata praise and benefits of hearing,"Entire phalashruti, contextual reading occasions, promised benefits, comparisons and doctrinal distinctions. OCR repeats a chapter-ending block; distinguish actual source repetition from scan duplication.",not_certified_unabridged,chapter_inventory_01_63.json
Adi056,Puru genealogy from creation through Kuru family; associated commentary,"Full parent/spouse/child chain, kings’ deeds, all alternate names and intermarriages; commentary after26960 before chapter57. Current anchors are inadequate for unabridged genealogy. Preserve this sequence separately from chapter63 variant.",not_certified_unabridged,chapter_inventory_01_63.json
Adi057,Uparichara Vasu; Indra festival; Girika; Adrika/Satyavati; formal marriage; Vyasa birth,Full five-son names and kingdoms; entire Indra festival ritual/phalashruti; full Satyavati previous-birth names; complete marriage-type/dana-authority debate and ritual; all unusual-birth exempla in Parashara’s maternal-respect teaching; exact Vyasa farewell and subsequent Veda division. OCR repeats festival and rebuke blocks. The major source-specific episodes are retained.,not_certified_unabridged,chapter_inventory_01_63.json
Adi058,"Synopsis of Bhishma, Mandavya/Vidura, Pandava/Kaurava and associated births",All birth entries and their divine/curse relations in original order. Current one-scene synopsis does not count as full chapter adaptation; later detailed episodes should not erase this source’s preliminary presentation.,not_certified_unabridged,chapter_inventory_01_63.json
Adi059,Post-Parashurama renewal; order/corruption; Earth’s burden; divine incarnation appeal,"Full social-order passage, repopulation mechanism, entry of oppressive asuric rulers, Earth/Brahma/deva dialogue and Narayana praise. Present caste/role claims as source-era ideology rather than modern production instructions.",not_certified_unabridged,chapter_inventory_01_63.json
Adi060,Devas agree to descend; Daksha daughters and progeny,"All thirteen wives and every child/descendant grouping, twelve Adityas and other named beings. Need verified complete genealogy table and a full readable narration. Selected names only are currently spoken.",not_certified_unabridged,chapter_inventory_01_63.json
Adi061,Rudras; Vasus; rishi and other progeny genealogies,"Every Rudra/Vasu/sage-line entry, spouses, offspring, branches and associated explanations. Eleven Rudra names are voiced but OCR spelling remains unverified; most chapter entries are not yet adapted.",not_certified_unabridged,chapter_inventory_01_63.json
Adi062,"Divine/asuric incarnation mappings to human kings, heroes and women",Complete prior-being to human-identity mapping with amsha/avesha distinctions and every commentary qualifier. Only illustrative entries and major anchors are voiced. Must not collapse multiple amsha relationships into one identity or confuse same-named Ugrasenas/Hardikya.,not_certified_unabridged,chapter_inventory_01_63.json
Adi063,Retrospective Puru genealogy to Dushyanta and Bharata,"All ten Rudrashva sons, every intervening spouse/child relation and exact OCR name forms; reconcile source variants without merging with chapter56. Dushyanta/Lakshana’s Janamejaya must remain distinct from Parikshit’s son.",not_certified_unabridged,chapter_inventory_01_63.json
Adi064,ಕುರುವಂಶದ ಪರಿಚಯ ಮತ್ತು ಯಯಾತಿಯ ಸಂಕ್ಷೇಪ,"A narrated genealogy companion is now integrated. Missing named positions, variant relationships and damaged spellings remain explicitly provisional; see the catalogue appendix. Every lexical gloss and wording of the extended speeches has not been certified.",not_certified_unabridged,chapter_inventory_64_131.json
Adi065,"ಕಚನ ಶಿಷ್ಯತ್ವ, ಮರಣಗಳು ಮತ್ತು ಸಂಜೀವಿನಿ","Long guru-service timescales, individual attack speeches and Shukra's alcohol prohibition are abbreviated. OCR repeats attack/revival paragraphs around1398–1505; do not count duplicates as new attacks.",not_certified_unabridged,chapter_inventory_64_131.json
Adi066,ದೇವಯಾನಿಯ ಪ್ರೀತಿ ಮತ್ತು ಪರಸ್ಪರ ಶಾಪ,"Core refusal, kinship reasoning and curse/transmission condition scripted. Full honorific debate and gods' reception of Kacha remain summarized.",not_certified_unabridged,chapter_inventory_64_131.json
Adi067,ಶರ್ಮಿಷ್ಠೆಯ ಕಲಹ ಮತ್ತು ಯಯಾತಿಯ ರಕ್ಷಣೆ,"Quarrel, right-hand rescue, marriage interpretation and attendant message scripted in summary. Duplicate chapter ending2641/2729 needs print-page comparison; full status-insult exchanges not voiced.",not_certified_unabridged,chapter_inventory_64_131.json
Adi068,ಶುಕ್ರ ಮತ್ತು ದೇವಯಾನಿಯ ಕ್ಷಮಾಚರ್ಚೆ,Father's counsel on anger/forbearance compressed to one scene; individual maxims and Devayani's full replies not separately adapted.,not_certified_unabridged,chapter_inventory_64_131.json
Adi069,ವೃಷಪರ್ವನ ಕ್ಷಮೆ ಮತ್ತು ಶರ್ಮಿಷ್ಠೆಯ ಸೇವೆ,Political stakes and service acceptance retained. Exact entourage count and full king/guru/daughter negotiation not spoken.,not_certified_unabridged,chapter_inventory_64_131.json
Adi070,ದೇವಯಾನಿಯ ವಿವಾಹ,"Second garden encounter, parental consent and prohibition concerning Sharmishtha retained. Detailed marriage/social-order argument condensed.",not_certified_unabridged,chapter_inventory_64_131.json
Adi071,ದೇವಯಾನಿ ಮತ್ತು ಶರ್ಮಿಷ್ಠೆಯ ಸಂತಾನ,"Births and concealed relationship retained. Sharmishtha's full arguments about motherhood, dependence and obligations require expanded dialogue.",not_certified_unabridged,chapter_inventory_64_131.json
Adi072,ಗುಪ್ತ ಸಂಬಂಧದ ಬಹಿರಂಗ ಮತ್ತು ಮುಪ್ಪಿನ ಶಾಪ,"Disclosure through children, complaint, curse and Yayati's defense included in compressed form. His full legal/religious defense and Shukra's rebuttal not individually voiced.",not_certified_unabridged,chapter_inventory_64_131.json
Adi073,ಮಕ್ಕಳ ನಿರಾಕರಣೆ ಮತ್ತು ಪೂರುವಿನ ಒಪ್ಪಿಗೆ,"Four refusals and Puru's assent covered across EP14 ending/EP15 recap. Each son's distinct reason, individual curse and precise grant need full companion reading.",not_certified_unabridged,chapter_inventory_64_131.json
Adi074,ಯಯಾತಿಯ ವೈರಾಗ್ಯ ಮತ್ತು ಪೂರುವಿನ ಪಟ್ಟ,"Youth return, succession objection and forest departure scripted. Desire teaching, long reign descriptions and territorial allocations abbreviated.",not_certified_unabridged,chapter_inventory_64_131.json
Adi075,ಯಯಾತಿಯ ತಪಸ್ಸು ಮತ್ತು ಸ್ವರ್ಗಗತಿಯ ಸಂಕ್ಷೇಪ,Forest austerity and heaven transition retained. Source's own overview and Janamejaya's follow-up not fully dramatized.,not_certified_unabridged,chapter_inventory_64_131.json
Adi076,ಇಂದ್ರನ ಪ್ರಶ್ನೆ ಮತ್ತು ರಾಜನೀತಿ,"All principal maxims in the selected chapter now have spoken paraphrase. Literary wording, some repeated address phrases and literal verse recitation remain in the source companion, not verbatim in narration. Page-image verification outstanding.",not_certified_unabridged,chapter_inventory_64_131.json
Adi077,ಅಹಂಕಾರ ಮತ್ತು ಸ್ವರ್ಗಪತನ,"Existing main scene covers Indra/pride/fall; new scene adds the omitted welcome, identity questions and guest analogy. Chapter now substantively represented; exact verse recitation and OCR verification outstanding.",not_certified_unabridged,chapter_inventory_64_131.json
Adi078,ಅಷ್ಟಕನೊಂದಿಗೆ ಯಯಾತಿಯ ಪರಿಚಯ,"Age/learning exchange, separate Ashtaka counsel, equanimity, source-specific realms/durations, messenger call and smoke-guided arrival now narrated. Extra theological gloss wording is condensed; no verse-by-verse certification.",not_certified_unabridged,chapter_inventory_64_131.json
Adi079,ಮರಣಾನಂತರದ ಗತಿ ಮತ್ತು ಪುನರ್ಜನ್ಮ,"Questions and principal answers about merit exhaustion, earth-as-suffering interpretation, pathways to conception, senses, karma/rebirth, seven gates and four pride-corrupted practices now narrated. Exact descent-duration numbers at6756–6764 unresolved; line-by-line commentary wording is condensed.",not_certified_unabridged,chapter_inventory_64_131.json
Adi080,ಆಶ್ರಮಧರ್ಮ,"Four-stage duties, forest/village paradox, renunciation result, hygiene, common conduct and textual meal counts now narrated. OCR conflicts at7093–7098 and precise interpretation of severe ascetic clauses still require page review; exact verse form not performed.",not_certified_unabridged,chapter_inventory_64_131.json
Adi081,ಅಷ್ಟಕ ಮತ್ತು ಪ್ರತರ್ದನರ ಪುಣ್ಯದಾನ,"Relative ascetic priority, repentance, non-reward-seeking dharma, separate Ashtaka/Pratardana offers and refusals now narrated.7346–7348 penance/body timing and final dharma/artha/kama qualification need print verification; duplicate pages not repeated as new events.",not_certified_unabridged,chapter_inventory_64_131.json
Adi082,"ವಸುಮನಾ, ಶಿಬಿ ಮತ್ತು ಪುನಃ ಸ್ವರ್ಗಗಮನ","Separate Vasumanas grass-sale offer, Shibi/collective offers, five chariots, ritual close, Madhavi arrival and decisive kinship argument, shraddha explanation, joint ascent, Shibi virtues and final truth/gift/phalashruti now narrated. Kutapa wording and enormous gift-number interpretation remain editorial uncertainties; no universal ritual authority claim.",not_certified_unabridged,chapter_inventory_64_131.json
Adi083,ಪೂರುವಂಶಕ್ಕೆ ಮರಳಿಕೆ,"A narrated genealogy companion is now integrated. Missing named positions, variant relationships and damaged spellings remain explicitly provisional; see the catalogue appendix. Every lexical gloss and wording of the extended speeches has not been certified.",not_certified_unabridged,chapter_inventory_64_131.json
Adi084,ದುಷ್ಯಂತನ ರಾಜ್ಯವರ್ಣನೆ,Peace/prosperity summarized as court context. Full ideal-reign claims not individually narrated.,not_certified_unabridged,chapter_inventory_64_131.json
Adi085,ದುಷ್ಯಂತನ ಬೇಟೆ,"Hunt and real animal harm acknowledged non-graphically. Army composition, animal catalogue and hunting episodes condensed.",not_certified_unabridged,chapter_inventory_64_131.json
Adi086,ಕಣ್ವರ ಆಶ್ರಮವರ್ಣನೆ,"Landscape, study, stream and protected atmosphere retained. Full flora/fauna and ritual/learning catalogue not separately scripted.",not_certified_unabridged,chapter_inventory_64_131.json
Adi087,ಶಕುಂತಲೆಯ ಸ್ವಾಗತ ಮತ್ತು ಪರಿಚಯ,"Hospitality, Kanva's absence and adoption explanation scripted. Full conversation and evaluative description abbreviated.",not_certified_unabridged,chapter_inventory_64_131.json
Adi088,ಮೇನಕೆ ಮತ್ತು ವಿಶ್ವಾಮಿತ್ರರಿಂದ ಶಕುಂತಲೆ,"Birth and bird protection retained. Divine scheme, encounter speeches and descriptive verses compressed without sexual imagery.",not_certified_unabridged,chapter_inventory_64_131.json
Adi089,ಗಾಂಧರ್ವವಿವಾಹ ಮತ್ತು ಉತ್ತರಾಧಿಕಾರದ ವಚನ,"Consent, son's succession condition, promise and Kanva approval scripted. Eight marriage types and full classification argument remain companion text.",not_certified_unabridged,chapter_inventory_64_131.json
Adi090,ಶಕುಂತಲೆಯ ನಿರೀಕ್ಷೆ ಮತ್ತು ಸರ್ವದಮನ,"Source's three-year statement, infant/child development and exceptional strength retained. Long counsel by hermitage women, detailed chronology and animal-play catalogue abbreviated; three-year interpretation needs print check.",not_certified_unabridged,chapter_inventory_64_131.json
Adi091,ರಾಜಸಭೆಯಲ್ಲಿ ಶಕುಂತಲೆಯ ನ್ಯಾಯವಾದ,"Arrival/refusal/wife-son-inner-witness argument retained over EP16/17. Every analogy, maxim and extended family-duty proposition not separately voiced. Repeated arrival passages11972/12058 need deduplication review.",not_certified_unabridged,chapter_inventory_64_131.json
Adi092,ಶಕುಂತಲೆಯ ಪ್ರತಿವಾದ ಮತ್ತು ನಿರ್ಗಮನದ ಯತ್ನ,"Source rebuttal and attempted departure scripted. Full ancestry comparison, insults and truth maxims condensed.",not_certified_unabridged,chapter_inventory_64_131.json
Adi093,"ಭರತನ ಸ್ವೀಕಾರ, ರಾಜ್ಯ ಮತ್ತು ವಂಶಸರಣಿ","A narrated genealogy companion is now integrated. Missing named positions, variant relationships and damaged spellings remain explicitly provisional; see the catalogue appendix. Every lexical gloss and wording of the extended speeches has not been certified.",not_certified_unabridged,chapter_inventory_64_131.json
Adi094,"ಮಹಾಭಿಷ, ಗಂಗೆ ಮತ್ತು ವಸುಗಳು","Heavenly incident, human-birth connection and Vasus' request covered. Sacrifice counts and full agreement dialogue abbreviated. Adjacent14400s commentary is a separate layer.",not_certified_unabridged,chapter_inventory_64_131.json
Adi095,"ಪ್ರತೀಪ, ಶಂತನು ಮತ್ತು ಗಂಗೆಯ ಷರತ್ತು","Pratipa relationship interpretation, Shantanu's inherited instruction and condition scripted in combined scene. Full thigh-position symbolism, courtship and reign details need expanded treatment.",not_certified_unabridged,chapter_inventory_64_131.json
Adi096,ಏಳು ಶಿಶುಗಳು ಮತ್ತು ಎಂಟನೆಯ ಮಗನ ರಕ್ಷಣೆ,"Seven losses, Shantanu's intervention and surviving eighth child retained non-graphically. Duplicated ending15713/15781 and intervening commentary heading15720 require printed-page boundary review.",not_certified_unabridged,chapter_inventory_64_131.json
Adi097,ವಸಿಷ್ಠರ ಗೋವಿನ ಅಪಹರಣ ಮತ್ತು ವಸುಶಾಪ,"Dyu's wife/Jitavati motive, Nandini/calf theft, curse, unequal release and Devavrata/Gangadatta identities retained. Full Vasistha genealogy and cow powers summarized.",not_certified_unabridged,chapter_inventory_64_131.json
Adi098,ದೇವವ್ರತನ ವಾಪಸ್ಸು,"River-flow archery, Ganga's presentation and crown-prince status scripted. Shantanu's ideal-reign catalogue and each named teacher's contribution not all voiced.",not_certified_unabridged,chapter_inventory_64_131.json
Adi099,ಸತ್ಯವತಿಯ ಉತ್ತರಾಧಿಕಾರ ಷರತ್ತು ಮತ್ತು ಭೀಷ್ಮವ್ರತ,"Yamuna encounter, four-year interval, succession renunciation and lifelong celibacy separately scripted. Detailed minister consultations and fishing-chief political arguments abbreviated.",not_certified_unabridged,chapter_inventory_64_131.json
Adi100,ಶಂತನು-ಸತ್ಯವತಿಯ ಮಕ್ಕಳು,"Marriage, Chitrangada's namesake opponent and Vichitravirya accession retained. Full battle duration/details and royal rites condensed.",not_certified_unabridged,chapter_inventory_64_131.json
Adi101,ಕಾಶಿ ಕನ್ಯೆಯರ ಹರಣ ಮತ್ತು ಅಂಬೆಯ ನಿರಾಕರಣೆಗಳು,"Three sisters distinguished; removal, Amba's prior choice, permitted departure and Salva refusal scripted. Full multi-king fighting and prolonged Amba/Bhishma/Salva debates not all voiced. Adjacent Madhva commentary19079–19276 is narrated in G18-S10 with rebirth, marriage conflict, Tumburu exchange and Kubera curse; theological reasoning and every quoted argument remain condensed.",not_certified_unabridged,chapter_inventory_64_131.json
Adi102,ಅಂಬೆಯ ಮಾಲೆ ಮತ್ತು ಶಿಖಂಡಿಯ ಗಂಧರ್ವಪ್ರಸಂಗ,"Garland refusal, Panchala doorway, Shikhandi's departure and Gandharva change retained. Full Rchika/Gandharva dialogue and exact name spellings need OCR check. Separate19079–19276 Madhva commentary includes rebirth, marriage conflict, Tumburu exchange and Kubera curse in G18-S10; source-layer distinction retained, full metaphysical reasoning condensed.",not_certified_unabridged,chapter_inventory_64_131.json
Adi103,ವಿಚಿತ್ರವೀರ್ಯನ ಮರಣ ಮತ್ತು ಸತ್ಯವತಿಯ ಬೇಡಿಕೆ,"Both marriages, illness/death without heirs and Bhishma refusal scripted. Full sexual-life description, physicians' efforts and repeated requests condensed.",not_certified_unabridged,chapter_inventory_64_131.json
