group_id,volume,title_kn,use,text_rendering,final_card_file
G43,4,ಜರೆಯಿಂದ ಸೇರಿದ ಜೀವ ಮತ್ತು ಮಗಧದ ಬಾಗಿಲು,Optional topic divider; no compulsory episode split,Typeset verified Kannada in the editor; do not ask the image model to draw the letters,
G44,4,ಕಂಸನ ವೈರವಿನಿಂದ ರಾಜರ ಬಿಡುಗಡೆಯವರೆಗೆ,Optional topic divider; no compulsory episode split,Typeset verified Kannada in the editor; do not ask the image model to draw the letters,
A101,3,ದ್ರುಪದನ ಜನ್ಮ ಮತ್ತು ಹಳೆಯ ಸ್ನೇಹ,Optional topic divider; no compulsory episode split,Typeset verified Kannada in the editor; do not ask the image model to draw the letters,
A102,3,ದ್ರೌಪದಿಯ ವಿವಾಹದ ವಾದದ ವಿವರ,Optional topic divider; no compulsory episode split,Typeset verified Kannada in the editor; do not ask the image model to draw the letters,
A103,3,ಔರ್ವನ ವಾದವನ್ನು ಪೂರ್ಣವಾಗಿ ಕೇಳುವುದು,Optional topic divider; no compulsory episode split,Typeset verified Kannada in the editor; do not ask the image model to draw the letters,
BS01,4,ನಾರದನ ರಾಜನೀತಿ: ವಿಷಯವಾರು ವಿಸ್ತಾರ,Optional topic divider; no compulsory episode split,Typeset verified Kannada in the editor; do not ask the image model to draw the letters,
BS02,4,ದೇವಸಭೆಗಳ ಹೆಸರುಗಳನ್ನು ಅರ್ಥಮಾಡಿಕೊಳ್ಳುವ ಮಾರ್ಗ,Optional topic divider; no compulsory episode split,Typeset verified Kannada in the editor; do not ask the image model to draw the letters,
BS03,4,ಮಗಧದ ಸಂಬಂಧಕಥೆಗಳು ಮತ್ತು ವ್ಯಾಖ್ಯಾನದ ವಿವರಣೆ,Optional topic divider; no compulsory episode split,Typeset verified Kannada in the editor; do not ask the image model to draw the letters,
FF01,1,ಸಂಪುಟ1 — ಮುನ್ನುಡಿ ಮತ್ತು ಗ್ರಂಥಪರಿಚಯದ ವಿಸ್ತಾರ,Optional topic divider; no compulsory episode split,Typeset verified Kannada in the editor; do not ask the image model to draw the letters,
FF02,2,ಸಂಪುಟ2 — ಮುನ್ನುಡಿ ಮತ್ತು ಗ್ರಂಥಪರಿಚಯದ ವಿಸ್ತಾರ,Optional topic divider; no compulsory episode split,Typeset verified Kannada in the editor; do not ask the image model to draw the letters,
FF03,3,ಸಂಪುಟ3 — ಮುನ್ನುಡಿ ಮತ್ತು ಗ್ರಂಥಪರಿಚಯದ ವಿಸ್ತಾರ,Optional topic divider; no compulsory episode split,Typeset verified Kannada in the editor; do not ask the image model to draw the letters,
FF04,4,ಸಂಪುಟ4 — ಮುನ್ನುಡಿ ಮತ್ತು ಗ್ರಂಥಪರಿಚಯದ ವಿಸ್ತಾರ,Optional topic divider; no compulsory episode split,Typeset verified Kannada in the editor; do not ask the image model to draw the letters,
V2201,2,ದೀರ್ಘತಮಸರ ಕುಟುಂಬದಿಂದ ಅಂಗನ ಜನ್ಮದವರೆಗೆ,Optional topic divider; no compulsory episode split,Typeset verified Kannada in the editor; do not ask the image model to draw the letters,
V2202,2,ಪೂರುವಿಗೆ ಹೇಳಿದ ರಾಜ್ಯನೀತಿ ಮತ್ತು ಮಾತಿನ ಹೊಣೆ,Optional topic divider; no compulsory episode split,Typeset verified Kannada in the editor; do not ask the image model to draw the letters,
V2203,2,ಪತನದ ಮಧ್ಯೆ ಸಿಕ್ಕ ಅತಿಥಿಗೌರವ,Optional topic divider; no compulsory episode split,Typeset verified Kannada in the editor; do not ask the image model to draw the letters,
V2204,2,"ವಯಸ್ಸು, ವಿದ್ಯೆ ಮತ್ತು ಯಯಾತಿಯ ಲೋಕಾನುಭವ",Optional topic divider; no compulsory episode split,Typeset verified Kannada in the editor; do not ask the image model to draw the letters,
V2205,2,ಪುನರ್ಜನ್ಮ ಮತ್ತು ಪುಣ್ಯದ ಏಳು ದ್ವಾರಗಳು,Optional topic divider; no compulsory episode split,Typeset verified Kannada in the editor; do not ask the image model to draw the letters,
V2206,2,ನಾಲ್ಕು ಆಶ್ರಮಗಳ ವಿವರವಾದ ಕರ್ತವ್ಯಗಳು,Optional topic divider; no compulsory episode split,Typeset verified Kannada in the editor; do not ask the image model to draw the letters,
V2207,2,ಅಷ್ಟಕ ಮತ್ತು ಪ್ರತರ್ದನರ ಪ್ರತ್ಯೇಕ ದಾನಪ್ರಸ್ತಾವಗಳು,Optional topic divider; no compulsory episode split,Typeset verified Kannada in the editor; do not ask the image model to draw the letters,
V2208,2,ವಸುಮನನ ಹುಲ್ಲುಕಡ್ಡಿ ಮತ್ತು ಮಾಧವಿಯ ಉತ್ತರ,Optional topic divider; no compulsory episode split,Typeset verified Kannada in the editor; do not ask the image model to draw the letters,
V2209,2,ಐದು ರಥಗಳು ಮತ್ತು ಯಯಾತಿಯ ಕೊನೆಯ ಸ್ಮರಣೆ,Optional topic divider; no compulsory episode split,Typeset verified Kannada in the editor; do not ask the image model to draw the letters,
C117,2,ಧೃತರಾಷ್ಟ್ರನ ಮಕ್ಕಳ ಸಂಪೂರ್ಣ ನಾಮಪಟ್ಟಿ: ಮೂಲದ ಕ್ರಮ ಮತ್ತು ವ್ಯತ್ಯಾಸಗಳು,Optional topic divider; no compulsory episode split,Typeset verified Kannada in the editor; do not ask the image model to draw the letters,
C64,2,ಕುರುವಂಶದ ಬೇರುಗಳು: ಅಧ್ಯಾಯ64ರ ಸಂಪೂರ್ಣ ಹೆಸರಿನ ಶಾಖೆಗಳು,Optional topic divider; no compulsory episode split,Typeset verified Kannada in the editor; do not ask the image model to draw the letters,
C83,2,ಪೂರುವಿನಿಂದ ದುಷ್ಯಂತನವರೆಗೆ: ಅಧ್ಯಾಯ83ರ ಎಲ್ಲಾ ಓದಬಹುದಾದ ಶಾಖೆಗಳು,Optional topic divider; no compulsory episode split,Typeset verified Kannada in the editor; do not ask the image model to draw the letters,
C93,2,ಭರತವಂಶದ ಎಲ್ಲಾ ಓದಬಹುದಾದ ಶಾಖೆಗಳು: ಒಂದೇ ಹೆಸರುಗಳ ಬೇರೆ ಪೂರ್ವಜರು,Optional topic divider; no compulsory episode split,Typeset verified Kannada in the editor; do not ask the image model to draw the letters,
SFSF01,4,ಬಿಂದುಸರೋವರ ಮತ್ತು ಮಯನ ನಿರ್ಮಾಣದ ವಿವರ,Optional topic divider; no compulsory episode split,Typeset verified Kannada in the editor; do not ask the image model to draw the letters,
SFSF02,4,ಜರೆಯ ಪ್ರತ್ಯುಪಕಾರದ ವಿವರಣೆ,Optional topic divider; no compulsory episode split,Typeset verified Kannada in the editor; do not ask the image model to draw the letters,
SFSF03,4,ಚಂಡಕೌಶಿಕನ ಭವಿಷ್ಯವಾಣಿಯ ವಿವರ,Optional topic divider; no compulsory episode split,Typeset verified Kannada in the editor; do not ask the image model to draw the letters,
SFSF04,4,ದೂರಕ್ಕೆ ಹಾರಿದ ಗದೆ ಮತ್ತು ಬಾಹುಯುದ್ಧದ ನಿರ್ಧಾರ,Optional topic divider; no compulsory episode split,Typeset verified Kannada in the editor; do not ask the image model to draw the letters,
SFSF05,4,ಮಗಧಕ್ಕೆ ಹೋಗುವ ದಾರಿ ಮತ್ತು ಗಿರಿವ್ರಜದ ಕ್ಷೇತ್ರಕಥೆಗಳು,Optional topic divider; no compulsory episode split,Typeset verified Kannada in the editor; do not ask the image model to draw the letters,
SFSF06,4,ನಗರ ಪ್ರವೇಶದ ಕಠಿಣ ಸಂಕೇತಗಳು,Optional topic divider; no compulsory episode split,Typeset verified Kannada in the editor; do not ask the image model to draw the letters,
V4C01,4,ಮಯನ ವಿದಾಯ ಮತ್ತು ವಾನರಧ್ವಜ,Optional topic divider; no compulsory episode split,Typeset verified Kannada in the editor; do not ask the image model to draw the letters,
V4C02,4,ಸಭಾಪ್ರವೇಶದ ಸತ್ಕಾರ ಮತ್ತು ಪೂರ್ಣ ಅತಿಥಿಪಟ್ಟಿ,Optional topic divider; no compulsory episode split,Typeset verified Kannada in the editor; do not ask the image model to draw the letters,
V4C03,4,ಇಂದ್ರಸಭೆಯ ವಿಸ್ತೃತ ವರ್ಣನೆ ಮತ್ತು ನಾಮಪಟ್ಟಿ,Optional topic divider; no compulsory episode split,Typeset verified Kannada in the editor; do not ask the image model to draw the letters,
V4C04,4,ಯಮಸಭೆಯ ಪೂರ್ಣ ರಾಜನಾಮಪಟ್ಟಿ ಮತ್ತು ಪಿತೃಗಣಗಳು,Optional topic divider; no compulsory episode split,Typeset verified Kannada in the editor; do not ask the image model to draw the letters,
V4C05,4,ವರುಣಸಭೆಯ ನಾಮಪಟ್ಟಿ ಮತ್ತು ಜಲಲೋಕದ ವಿವರ,Optional topic divider; no compulsory episode split,Typeset verified Kannada in the editor; do not ask the image model to draw the letters,
V4C06,4,"ಕುಬೇರಸಭೆಯ ಸಂಗೀತ, ಯಕ್ಷರು ಮತ್ತು ರುದ್ರನ ಆಗಮನ",Optional topic divider; no compulsory episode split,Typeset verified Kannada in the editor; do not ask the image model to draw the letters,
V4C07,4,ಬ್ರಹ್ಮಸಭೆಯ ಜ್ಞಾನಲೋಕ ಮತ್ತು ಪೂರ್ಣ ನಾಮವರ್ಣನೆ,Optional topic divider; no compulsory episode split,Typeset verified Kannada in the editor; do not ask the image model to draw the letters,
V4C08,4,ಸಭೆಗಳ ಕುರಿತು ತಾತ್ಪರ್ಯನಿರ್ಣಯದ ಸಂಪೂರ್ಣ ವಿವರಣೆ,Optional topic divider; no compulsory episode split,Typeset verified Kannada in the editor; do not ask the image model to draw the letters,
