reading_order,scene_id,keyframe_id,title_kn,source_refs,image_prompt,negative_prompt,motion_direction,sound_cue,continuity,character_reference_files,location_reference_file,generated_still_file,generator_and_version,generation_settings,native_width,native_height,upscale_history,still_review,recording_take,actual_voice_seconds,additional_shot_ids_after_read,selected_motion_clip,clip_in,clip_out,caption_file,music_source,sfx_source,master_width,master_height,master_fps,final_master_file,delivery_review
12,FF01-S07,FF01-S07-KF01,ಪಾಠಸಂಶೋಧನೆ ಏಕೆ ಅಗತ್ಯ?,MAHABHARATA-1-AADIPARVA-_djvu (1).txt lines 617–737,"Two different palm-leaf witnesses and a printed proof arranged side by side on a scholar's table, all script deliberately soft and unreadable, a wooden pointer marking comparison positions, overhead50mm view, daylight and amber lamp balanced, no erasing or destroying source pages. 16:9composition for3840x2160delivery, cinematic naturalism, high-detail Indian wood/stone/cloth textures, anatomically coherent hands, clean depth separation, restrained rich colour, no generated text, no watermark, no pseudo-Sanskrit. Illustrative documentary image, not an authentic historical photograph.","No generated letters, logos, watermarks, extra limbs, duplicate faces, deformed hands, plastic costumes, unrelated architecture, sexualized framing or graphic gore. Preserve original character references, age and scene continuity. For an editorial or publication scene, permit the modern book or archive props explicitly requested; do not project them into ancient story scenes.",Slow restrained push or a locked frame; let the explanation determine cut points. Do not animate manuscript letters.,"Warm clear Kannada documentary narration, low natural room or environmental ambience, music kept below every name and key distinction.","Book-paratext explanation, not an event inside the Mahabharata story. Preserve attribution to this edition; add any verified labels in post.",,,,,,,,,not_generated,,,,,,,,,,3840,2160,24,,not_rendered
13,FF01-S08,FF01-S08-KF01,ಲಕ್ಷಾಲಂಕಾರ ಮತ್ತು ಸುಂದರ ಅಕ್ಷರಗಳ ಅರ್ಪಣೆ,MAHABHARATA-1-AADIPARVA-_djvu (1).txt lines 738–822,"Symbolic offering of an unlettered palm-leaf commentary bundle beside simple gold-coloured floral ornaments before a distant softly lit Krishna shrine, no human likeness of Vadiraja or his mother claimed,65mm intimate devotional composition, warm brass lamps and dark teak, tasteful restrained gold. 16:9composition for3840x2160delivery, cinematic naturalism, high-detail Indian wood/stone/cloth textures, anatomically coherent hands, clean depth separation, restrained rich colour, no generated text, no watermark, no pseudo-Sanskrit. Illustrative documentary image, not an authentic historical photograph.","No generated letters, logos, watermarks, extra limbs, duplicate faces, deformed hands, plastic costumes, unrelated architecture, sexualized framing or graphic gore. Preserve original character references, age and scene continuity. For an editorial or publication scene, permit the modern book or archive props explicitly requested; do not project them into ancient story scenes.",Slow restrained push or a locked frame; let the explanation determine cut points. Do not animate manuscript letters.,"Warm clear Kannada documentary narration, low natural room or environmental ambience, music kept below every name and key distinction.","Book-paratext explanation, not an event inside the Mahabharata story. Preserve attribution to this edition; add any verified labels in post.",,,,,,,,,not_generated,,,,,,,,,,3840,2160,24,,not_rendered
14,FF01-S09,FF01-S09-KF01,ತಾಳೆಗರಿಗಳ ಕಾಲ ಮತ್ತು ಸಂಪಾದಕರ ಮಿತಿ,MAHABHARATA-1-AADIPARVA-_djvu (1).txt lines 823–864,"Close view of old palm-leaf edges and differently formed unreadable script lines under magnifying glass, an anonymous scholar's careful hands,85mm macro lens, side daylight revealing age and repairs, no fabricated date stamp or exact historical claim. 16:9composition for3840x2160delivery, cinematic naturalism, high-detail Indian wood/stone/cloth textures, anatomically coherent hands, clean depth separation, restrained rich colour, no generated text, no watermark, no pseudo-Sanskrit. Illustrative documentary image, not an authentic historical photograph.","No generated letters, logos, watermarks, extra limbs, duplicate faces, deformed hands, plastic costumes, unrelated architecture, sexualized framing or graphic gore. Preserve original character references, age and scene continuity. For an editorial or publication scene, permit the modern book or archive props explicitly requested; do not project them into ancient story scenes.",Slow restrained push or a locked frame; let the explanation determine cut points. Do not animate manuscript letters.,"Warm clear Kannada documentary narration, low natural room or environmental ambience, music kept below every name and key distinction.","Book-paratext explanation, not an event inside the Mahabharata story. Preserve attribution to this edition; add any verified labels in post.",,,,,,,,,not_generated,,,,,,,,,,3840,2160,24,,not_rendered
15,FF01-S10,FF01-S10-KF01,ಮಠಗಳ ಸಂಗ್ರಹ ಮತ್ತು ಪದಾರ್ಥದ ವಿಧಾನ,MAHABHARATA-1-AADIPARVA-_djvu (1).txt lines 865–921,"Eight unlettered tied manuscript bundles arranged respectfully around a central comparison folio, each with a different simple cotton tie colour, overhead35mm view, teak floor and soft lamp light, no invented institutional logos, quiet evidence of shared preservation. 16:9composition for3840x2160delivery, cinematic naturalism, high-detail Indian wood/stone/cloth textures, anatomically coherent hands, clean depth separation, restrained rich colour, no generated text, no watermark, no pseudo-Sanskrit. Illustrative documentary image, not an authentic historical photograph.","No generated letters, logos, watermarks, extra limbs, duplicate faces, deformed hands, plastic costumes, unrelated architecture, sexualized framing or graphic gore. Preserve original character references, age and scene continuity. For an editorial or publication scene, permit the modern book or archive props explicitly requested; do not project them into ancient story scenes.",Slow restrained push or a locked frame; let the explanation determine cut points. Do not animate manuscript letters.,"Warm clear Kannada documentary narration, low natural room or environmental ambience, music kept below every name and key distinction.","Book-paratext explanation, not an event inside the Mahabharata story. Preserve attribution to this edition; add any verified labels in post.",,,,,,,,,not_generated,,,,,,,,,,3840,2160,24,,not_rendered
16,FF01-S11,FF01-S11-KF01,ಪಾಠಾಂತರದ ಉದಾಹರಣೆ: ಒಂದು ಪದದ ಪರಿಣಾಮ,MAHABHARATA-1-AADIPARVA-_djvu (1).txt lines 922–1172,"A pair of unlettered manuscript strips with a single blank word-space framed by a wooden pointer, scholar's fingers gently keeping both witnesses open,85mm detail, warm paper and dark wood, no readable pseudo-Sanskrit, visual focus on comparison without pretending to show an exact textual correction. 16:9composition for3840x2160delivery, cinematic naturalism, high-detail Indian wood/stone/cloth textures, anatomically coherent hands, clean depth separation, restrained rich colour, no generated text, no watermark, no pseudo-Sanskrit. Illustrative documentary image, not an authentic historical photograph.","No generated letters, logos, watermarks, extra limbs, duplicate faces, deformed hands, plastic costumes, unrelated architecture, sexualized framing or graphic gore. Preserve original character references, age and scene continuity. For an editorial or publication scene, permit the modern book or archive props explicitly requested; do not project them into ancient story scenes.",Slow restrained push or a locked frame; let the explanation determine cut points. Do not animate manuscript letters.,"Warm clear Kannada documentary narration, low natural room or environmental ambience, music kept below every name and key distinction.","Book-paratext explanation, not an event inside the Mahabharata story. Preserve attribution to this edition; add any verified labels in post.",,,,,,,,,not_generated,,,,,,,,,,3840,2160,24,,not_rendered
17,FF01-S12,FF01-S12-KF01,ಲಕ್ಷಾಲಂಕಾರದ ಅರ್ಥವಿವರಣೆ: ಸಂದರ್ಭವೇ ದಾರಿ,MAHABHARATA-1-AADIPARVA-_djvu (1).txt lines 1173–1563,"Four separate unlettered commentary cards beside one central palm-leaf manuscript, tiny symbolic motifs of family branch, lamp, star reflected in river and ritual ladle,50mm overhead composition, warm amber and indigo, no explicit romantic scene, no readable text. 16:9composition for3840x2160delivery, cinematic naturalism, high-detail Indian wood/stone/cloth textures, anatomically coherent hands, clean depth separation, restrained rich colour, no generated text, no watermark, no pseudo-Sanskrit. Illustrative documentary image, not an authentic historical photograph.","No generated letters, logos, watermarks, extra limbs, duplicate faces, deformed hands, plastic costumes, unrelated architecture, sexualized framing or graphic gore. Preserve original character references, age and scene continuity. For an editorial or publication scene, permit the modern book or archive props explicitly requested; do not project them into ancient story scenes.",Slow restrained push or a locked frame; let the explanation determine cut points. Do not animate manuscript letters.,"Warm clear Kannada documentary narration, low natural room or environmental ambience, music kept below every name and key distinction.","Book-paratext explanation, not an event inside the Mahabharata story. Preserve attribution to this edition; add any verified labels in post.",,,,,,,,,not_generated,,,,,,,,,,3840,2160,24,,not_rendered
18,FF01-S13,FF01-S13-KF01,ಈ ಆದಿಪರ್ವದ ಕ್ರಮ ಮತ್ತು ವಿವಾದಗಳು,MAHABHARATA-1-AADIPARVA-_djvu (1).txt lines 1564–1715,"A long branching genealogy diagram made from unlettered wooden plaques, a deliberate repeated branch placed beside its earlier counterpart, clean ivory backdrop and side light,50mm front view, space for post-produced chapter63/83 labels, no modern family portraits. 16:9composition for3840x2160delivery, cinematic naturalism, high-detail Indian wood/stone/cloth textures, anatomically coherent hands, clean depth separation, restrained rich colour, no generated text, no watermark, no pseudo-Sanskrit. Illustrative documentary image, not an authentic historical photograph.","No generated letters, logos, watermarks, extra limbs, duplicate faces, deformed hands, plastic costumes, unrelated architecture, sexualized framing or graphic gore. Preserve original character references, age and scene continuity. For an editorial or publication scene, permit the modern book or archive props explicitly requested; do not project them into ancient story scenes.",Slow restrained push or a locked frame; let the explanation determine cut points. Do not animate manuscript letters.,"Warm clear Kannada documentary narration, low natural room or environmental ambience, music kept below every name and key distinction.","Book-paratext explanation, not an event inside the Mahabharata story. Preserve attribution to this edition; add any verified labels in post.",,,,,,,,,not_generated,,,,,,,,,,3840,2160,24,,not_rendered
19,FF01-S14,FF01-S14-KF01,ಪ್ರಕಾಶಕರ ಮಾತು: ಶ್ರಮ ಮತ್ತು ಸಹಕಾರ,MAHABHARATA-1-AADIPARVA-_djvu (1).txt lines 1716–2024,"Anonymous adult publication workers at separate workstations in an Indian editorial room, one compares a manuscript, one checks a paper proof and one binds a cloth volume,35mm documentary wide view, natural windows, tactile paper and thread, no visible computer screen or claimed historical photograph. 16:9composition for3840x2160delivery, cinematic naturalism, high-detail Indian wood/stone/cloth textures, anatomically coherent hands, clean depth separation, restrained rich colour, no generated text, no watermark, no pseudo-Sanskrit. Illustrative documentary image, not an authentic historical photograph.","No generated letters, logos, watermarks, extra limbs, duplicate faces, deformed hands, plastic costumes, unrelated architecture, sexualized framing or graphic gore. Preserve original character references, age and scene continuity. For an editorial or publication scene, permit the modern book or archive props explicitly requested; do not project them into ancient story scenes.",Slow restrained push or a locked frame; let the explanation determine cut points. Do not animate manuscript letters.,"Warm clear Kannada documentary narration, low natural room or environmental ambience, music kept below every name and key distinction.","Book-paratext explanation, not an event inside the Mahabharata story. Preserve attribution to this edition; add any verified labels in post.",,,,,,,,,not_generated,,,,,,,,,,3840,2160,24,,not_rendered
20,FF01-S15,FF01-S15-KF01,ಮಹಾಭಾರತದ ಮಹತ್ವ: ಸಂಸ್ಕೃತಿ ಮತ್ತು ನೈತಿಕ ಪ್ರಶ್ನೆಗಳು,MAHABHARATA-1-AADIPARVA-_djvu (1).txt lines 2025–2477,"Intergenerational Indian storytelling evening in an open courtyard, adults of varied ages listen thoughtfully rather than uniformly smiling, a child beside a grandparent,50mm warm lantern composition, carved stone relief faintly behind, no idealised superiority symbolism or exclusionary imagery. 16:9composition for3840x2160delivery, cinematic naturalism, high-detail Indian wood/stone/cloth textures, anatomically coherent hands, clean depth separation, restrained rich colour, no generated text, no watermark, no pseudo-Sanskrit. Illustrative documentary image, not an authentic historical photograph.","No generated letters, logos, watermarks, extra limbs, duplicate faces, deformed hands, plastic costumes, unrelated architecture, sexualized framing or graphic gore. Preserve original character references, age and scene continuity. For an editorial or publication scene, permit the modern book or archive props explicitly requested; do not project them into ancient story scenes.",Slow restrained push or a locked frame; let the explanation determine cut points. Do not animate manuscript letters.,"Warm clear Kannada documentary narration, low natural room or environmental ambience, music kept below every name and key distinction.","Book-paratext explanation, not an event inside the Mahabharata story. Preserve attribution to this edition; add any verified labels in post.",,,,,,,,,not_generated,,,,,,,,,,3840,2160,24,,not_rendered
21,FF01-S16,FF01-S16-KF01,ಶುದ್ಧಪಾಠವನ್ನು ಹೇಗೆ ನಿರ್ಧರಿಸಬೇಕು?,MAHABHARATA-1-AADIPARVA-_djvu (1).txt lines 2478–2606,"Scholar compares the opening leaves of two manuscripts beside a separate commentary folio, all lettering unreadable, a straight wooden ruler marks the beginning without touching fragile text,65mm lens, clear neutral daylight and restrained brass lamp, careful evidence-based atmosphere. 16:9composition for3840x2160delivery, cinematic naturalism, high-detail Indian wood/stone/cloth textures, anatomically coherent hands, clean depth separation, restrained rich colour, no generated text, no watermark, no pseudo-Sanskrit. Illustrative documentary image, not an authentic historical photograph.","No generated letters, logos, watermarks, extra limbs, duplicate faces, deformed hands, plastic costumes, unrelated architecture, sexualized framing or graphic gore. Preserve original character references, age and scene continuity. For an editorial or publication scene, permit the modern book or archive props explicitly requested; do not project them into ancient story scenes.",Slow restrained push or a locked frame; let the explanation determine cut points. Do not animate manuscript letters.,"Warm clear Kannada documentary narration, low natural room or environmental ambience, music kept below every name and key distinction.","Book-paratext explanation, not an event inside the Mahabharata story. Preserve attribution to this edition; add any verified labels in post.",,,,,,,,,not_generated,,,,,,,,,,3840,2160,24,,not_rendered
