reading_order,scene_id,title_kn,source,narration_kn,adapted_dialogue_kn,spoken_words,planning_seconds_low,planning_seconds_high,recorded_take_path,actual_seconds,pronunciation_review,source_completeness_review,performance_approved,caption_file
28,FF01-S23,ವಿಷಯಾನುಕ್ರಮಣಿಕೆ: ಕಥೆಯ ದಾರಿಸೂಚಿ,MAHABHARATA-1-AADIPARVA-_djvu (1).txt lines 3169–3715,"ಮೊದಲ ಸಂಪುಟದ ವಿಷಯಾನುಕ್ರಮಣಿಕೆ ಕಥೆಯ ದಾರಿಯನ್ನು ಮುಂಚಿತವಾಗಿ ತೋರಿಸುತ್ತದೆ. ಅನುಕ್ರಮಣಿಕೆ, ಪರ್ವಸಂಗ್ರಹ, ಪೌಷ್ಯ, ಪೌಲೋಮ ಮತ್ತು ಆಸ್ತೀಕ ಪ್ರಸಂಗಗಳ ಮೂಲಕ ಕಥೆಯ ಹಲವು ಹಂತಗಳು ತೆರೆದುಕೊಳ್ಳುತ್ತವೆ. ಒಂದು ಉಪಕಥೆ ಮತ್ತೊಂದು ಮುಖ್ಯಘಟನೆಯ ಕಾರಣವನ್ನು ಹೇಳಲು ಬರುತ್ತದೆ. ಆದ್ದರಿಂದ ವಿಷಯಪಟ್ಟಿಯನ್ನು ಕೇವಲ ಅಧ್ಯಾಯಸಂಖ್ಯೆಗಳ ಪಟ್ಟಿಯಾಗಿ ನೋಡದೆ, ಕಥೆಯ ಸಂಬಂಧಗಳ ನಕ್ಷೆಯಾಗಿ ಬಳಸಬಹುದು. ಆದರೆ ವಿಷಯಪಟ್ಟಿಯ ಸಂಕ್ಷಿಪ್ತ ವಾಕ್ಯವೇ ಅಧ್ಯಾಯದ ಸಂಪೂರ್ಣ ವಿಷಯವಲ್ಲ. ಕಥೆಯೊಳಗಿನ ಸಂಭಾಷಣೆ, ಹೆಸರುಗಳು, ಕಾರಣಗಳು ಮತ್ತು ವಿವರಣೆಗಳನ್ನು ತಿಳಿಯಲು ಅಧ್ಯಾಯದ ಪಠ್ಯವನ್ನು ಅನುಸರಿಸಬೇಕು. ಈ ಪರಿಚಯದ ನಂತರ ನೈಮಿಷಾರಣ್ಯದ ಸಭೆಯಲ್ಲಿ ಕಥೆಯ ವಾಚನ ಆರಂಭವಾಗುತ್ತದೆ.",,61,27,35,,,pending,pending,,
29,G01-S01,ಮಂಗಳಾಚರಣೆ ಮತ್ತು ಈ ಆವೃತ್ತಿಯ ಅರ್ಥದಿಕ್ಕು,MAHABHARATA-1-AADIPARVA-_djvu (1).txt lines 3716–3795,"ನಾರಾಯಣನಿಗೆ ನಮಸ್ಕರಿಸಿ ಈ ಕಥೆಯನ್ನು ಆರಂಭಿಸೋಣ. ಈ ಪುಸ್ತಕದ ಮೊದಲ ಮಂಗಳಪದ್ಯಗಳು ಕೃಷ್ಣನ ಮಹಿಮೆ ಮತ್ತು ವಿಷ್ಣುವಿನ ಸರ್ವೋತ್ತಮತೆಯನ್ನು ಸ್ಮರಿಸುತ್ತವೆ. ನಂತರ ನರ, ನರೋತ್ತಮ, ದೇವಿ, ಸರಸ್ವತಿ ಮತ್ತು ವ್ಯಾಸರಿಗೆ ವಂದನೆ ಸಲ್ಲಿಸಿ ಜಯವೆಂಬ ಮಹಾಭಾರತವನ್ನು ಹೇಳಲಾಗುತ್ತದೆ. ಇಲ್ಲಿನ ವ್ಯಾಖ್ಯಾನವು ನರನನ್ನು ಶೇಷನೆಂದೂ, ನರೋತ್ತಮನನ್ನು ವಾಯುದೇವರೆಂದೂ, ದೇವಿಯನ್ನು ಲಕ್ಷ್ಮಿಯೆಂದೂ ವಿವರಿಸುತ್ತದೆ. ಇದು ಈ ಆವೃತ್ತಿಯ ಮಾಧ್ವ ವ್ಯಾಖ್ಯಾನದ ಅರ್ಥದಿಕ್ಕು. ಅದನ್ನು ಕಥೆಯಲ್ಲಿ ನಡೆಯುವ ಘಟನೆಯಿಂದ ಪ್ರತ್ಯೇಕವಾಗಿ ಗುರುತಿಸಿಕೊಳ್ಳೋಣ. ಈಗ ವಂದನೆಯ ಮೌನದಿಂದ ಋಷಿಗಳ ಸಭೆಯ ಕಡೆಗೆ ಸಾಗೋಣ.",,55,24,31,,,pending,pending,,
30,G01-S02,ಹನ್ನೆರಡು ವರ್ಷದ ಸತ್ರ,MAHABHARATA-1-AADIPARVA-_djvu (1).txt lines 3796–3828,"ನೈಮಿಷಾರಣ್ಯದೊಳಗೆ ಕುಲಪತಿ ಶೌನಕರು ಹನ್ನೆರಡು ವರ್ಷಗಳ ಸತ್ರಯಾಗವನ್ನು ನಡೆಸುತ್ತಿದ್ದಾರೆ. ಬ್ರಹ್ಮರ್ಷಿಗಳು ತಮ್ಮ ವ್ರತಾನುಷ್ಠಾನಗಳ ನಡುವೆ ಇಲ್ಲಿ ನೆರೆದಿದ್ದಾರೆ. ಆ ಸಭೆಯ ಕಡೆಗೆ ಪ್ರಯಾಣಿಕನೊಬ್ಬ ಬರುತ್ತಾನೆ. ಅವನು ರೋಮಹರ್ಷಣರ ಪುತ್ರ ಉಗ್ರಶ್ರವಸ್ಸು; ಪುರಾಣಗಳ ಕಥಾವಕ್ತೃ. ಆಶ್ರಮವನ್ನು ತಲುಪಿದ ಅವನು ವಿನಯದಿಂದ ತಲೆಬಾಗಿ ಋಷಿಗಳಿಗೆ ವಂದಿಸುತ್ತಾನೆ. ಧರ್ಮ ಮತ್ತು ಅರ್ಥವನ್ನು ತಿಳಿಸುವ ವ್ಯಾಸರ ಕಥೆಗಳನ್ನು ಹೇಳಬಲ್ಲೆನೆಂದು ತಿಳಿಸಿದಾಗ, ಕೇಳುವ ಆಸೆಯಿಂದ ಮುನಿಗಳು ಅವನ ಸುತ್ತ ಸೇರುತ್ತಾರೆ.",,45,20,26,,,pending,pending,,
31,G01-S03,ಅತಿಥಿಯ ಪ್ರಶ್ನೋತ್ತರ,MAHABHARATA-1-AADIPARVA-_djvu (1).txt lines 3829–3896,"ಉಗ್ರಶ್ರವಸ್ಸು ಮುನಿಗಳ ತಪಸ್ಸಿನ ಕ್ಷೇಮವನ್ನು ವಿಚಾರಿಸುತ್ತಾನೆ. ಎಲ್ಲರೂ ಕುಳಿತ ನಂತರ ಅವನಿಗೂ ಆಸನ ದೊರೆಯುತ್ತದೆ. ಪ್ರಯಾಣದ ಆಯಾಸ ಕಳೆದು ಅವನು ಸುಖವಾಗಿ ಕುಳಿತಿರುವುದನ್ನು ಗಮನಿಸಿದ ಋಷಿಯೊಬ್ಬರು, ಎಲ್ಲಿಂದ ಬಂದಿರಿ, ಯಾವ ಕ್ಷೇತ್ರಗಳಲ್ಲಿ ಸಂಚರಿಸಿದಿರಿ ಎಂದು ಕೇಳುತ್ತಾರೆ. ಉಗ್ರಶ್ರವಸ್ಸು ಜನಮೇಜಯನ ಸರ್ಪಸತ್ರವನ್ನು ನೆನಪಿಸಿಕೊಳ್ಳುತ್ತಾನೆ. ಪರೀಕ್ಷಿತನ ಮಗನಾದ ಆ ರಾಜನ ಯಜ್ಞದಲ್ಲಿ ವ್ಯಾಸರ ಶಿಷ್ಯ ವೈಶಂಪಾಯನರು ಮಹಾಭಾರತವನ್ನು ನಿರೂಪಿಸಿದ್ದರು. ತಾನೂ ಆ ಕಥೆಗಳನ್ನು ಅಲ್ಲಿಯೇ ಕೇಳಿದನೆಂದು ಹೇಳುತ್ತಾನೆ. ಹೀಗಾಗಿ ನೈಮಿಷಾರಣ್ಯದ ಸಭೆಯೊಳಗೆ ಮತ್ತೊಂದು ಯಜ್ಞಸಭೆಯ ನೆನಪು ತೆರೆಯುತ್ತದೆ.",,53,24,30,,,pending,pending,,
32,G01-S04,ಯುದ್ಧದ ನೆಲದಿಂದ ಬಂದ ಸಾಕ್ಷಿ,MAHABHARATA-1-AADIPARVA-_djvu (1).txt lines 3897–3971,"ಜನಮೇಜಯನ ಸಭೆಯಿಂದ ಹೊರಟ ಉಗ್ರಶ್ರವಸ್ಸು ಹಲವು ತೀರ್ಥಕ್ಷೇತ್ರಗಳಲ್ಲಿ ಸಂಚರಿಸಿದ್ದ. ಕೊನೆಗೆ ಸಮಂತಪಂಚಕವನ್ನು ಕಂಡಿದ್ದ. ಕೌರವರು, ಪಾಂಡವರು ಮತ್ತು ಅನೇಕ ದೇಶಗಳ ರಾಜರು ಪರಸ್ಪರ ಎದುರಾದ ನೆಲ ಅದು. ಅಲ್ಲಿಂದಲೇ ಅವನು ನೈಮಿಷಾರಣ್ಯಕ್ಕೆ ಬಂದಿದ್ದಾನೆ. ಋಷಿಗಳು ಕೇಳಲು ಸಿದ್ಧರಾಗಿದ್ದಾರೆ; ಅವರಿಗೆ ಕೇವಲ ಯುದ್ಧದ ಫಲವಲ್ಲ, ಧರ್ಮಾರ್ಥಗಳಿಂದ ಕೂಡಿದ ಸಂಪೂರ್ಣ ಭಾರತಕಥೆ ಬೇಕು. ವ್ಯಾಸರು ಹೇಳಿ ವೈಶಂಪಾಯನರು ನಿರೂಪಿಸಿದ ಕಥೆಯನ್ನೇ ಕೇಳಲು ಅವರು ಕೋರುತ್ತಾರೆ. ಉಗ್ರಶ್ರವಸ್ಸಿನ ಪ್ರಯಾಣ ಈಗ ಮುಗಿದಿದೆ. ಆದರೆ ಅವನ ಮಾತುಗಳಲ್ಲಿ ಬಹುದೊಡ್ಡ ಪ್ರಯಾಣ ಪ್ರಾರಂಭವಾಗಲಿದೆ.",,54,24,31,,,pending,pending,,
33,G01-S05,ಸೃಷ್ಟಿಯಿಂದ ಮಾನವಕಥೆಗೆ,MAHABHARATA-1-AADIPARVA-_djvu (1).txt lines 3972–4389,"ಕಥೆ ಹೇಳುವ ಮೊದಲು ಉಗ್ರಶ್ರವಸ್ಸು ಪರಮಾತ್ಮನನ್ನು ಸ್ಮರಿಸುತ್ತಾನೆ. ಲೋಕದ ಸೃಷ್ಟಿ, ಜೀವಿಗಳ ಉದ್ಭವ, ಕಾಲದ ಚಕ್ರ ಮತ್ತು ವಂಶಗಳ ವಿಸ್ತಾರವನ್ನು ಮೊದಲ ಅಧ್ಯಾಯ ಪರಿಚಯಿಸುತ್ತದೆ. ಬೆಳಕು ಕಾಣದ ಸ್ಥಿತಿಯಿಂದ ವಿಶ್ವದ ವ್ಯವಸ್ಥೆ ಮೂಡುವ ದೃಶ್ಯವನ್ನು ಹೇಳಿ, ದೇವತೆಗಳು ಮತ್ತು ಜೀವಸಮುದಾಯಗಳ ಕಡೆಗೆ ನಿರೂಪಣೆ ಸಾಗುತ್ತದೆ. ಈ ಸೃಷ್ಟಿವರ್ಣನೆ ವಿಜ್ಞಾನಪಾಠದ ಕಾಲಪಟ್ಟಿಯಲ್ಲ; ಗ್ರಂಥವು ಜಗತ್ತಿನ ಮೂಲವನ್ನು ವಿವರಿಸುವ ಧಾರ್ಮಿಕ ನಿರೂಪಣೆ. ಅದರೊಳಗೇ ಮುಂದೆ ಮನುಷ್ಯರ ರಾಜ್ಯಗಳು, ಕುಟುಂಬಗಳು ಮತ್ತು ಸಂಘರ್ಷಗಳು ಬರುತ್ತವೆ. ರಾಜರ ಕತೆ ಆರಂಭವಾದರೂ ಅವರಿಗಿಂತ ದೊಡ್ಡ ವಿಶ್ವದ ನೆಲೆ ಮರೆವಾಗುವುದಿಲ್ಲ.",,58,26,33,,,pending,pending,,
34,G01-S06,ಸಂಗ್ರಹ ಮತ್ತು ವಿಸ್ತಾರ,MAHABHARATA-1-AADIPARVA-_djvu (1).txt lines 4390–4838,"ವ್ಯಾಸರು ರಚಿಸಿದ ಭಾರತವು ಸಂಕ್ಷೇಪದಲ್ಲಿಯೂ ವಿಸ್ತಾರದಲ್ಲಿಯೂ ಹೇಳಲ್ಪಡುತ್ತದೆ ಎಂದು ಗ್ರಂಥ ವಿವರಿಸುತ್ತದೆ. ಉಪಾಖ್ಯಾನಗಳನ್ನು ಹೊರತುಪಡಿಸಿದ ಭಾರತಸಂಹಿತೆ ಮತ್ತು ಉಪಾಖ್ಯಾನಗಳೊಂದಿಗೆ ವಿಸ್ತರಿಸಿದ ರೂಪಗಳ ವಿಷಯವೂ ಬರುತ್ತದೆ. ಯಾರು ಹೇಗೆ ಕೇಳುತ್ತಾರೆ ಎಂಬುದರಂತೆ ಕಥೆಯ ಪ್ರವೇಶವೂ ಬದಲಾಗುತ್ತದೆ. ವ್ಯಾಸರು ತಮ್ಮ ಮಗ ಶುಕರಿಗೂ ಶಿಷ್ಯರಿಗೂ ಅದನ್ನು ಉಪದೇಶಿಸುತ್ತಾರೆ. ನಾರದರು ದೇವತೆಗಳಿಗೆ, ಅಸಿತದೇವಲರು ಪಿತೃಗಳಿಗೆ, ಶುಕರು ಇತರ ಲೋಕಗಳಿಗೆ ಕಥೆಯನ್ನು ತಲುಪಿಸುತ್ತಾರೆ ಎಂದು ಈ ಅಧ್ಯಾಯ ಹೇಳುತ್ತದೆ. ಮನುಷ್ಯಲೋಕದಲ್ಲಿ ಜನಮೇಜಯನ ಮುಂದೆ ವೈಶಂಪಾಯನರ ಮಾತು ಅದೇ ಜ್ಞಾನಪರಂಪರೆಯ ಮುಂದುವರಿಕೆಯಾಗಿದೆ.",,53,24,30,,,pending,pending,,
35,G01-S07,ಎರಡು ವೃಕ್ಷಗಳು ಮತ್ತು ಯುದ್ಧದ ಮುನ್ನೋಟ,MAHABHARATA-1-AADIPARVA-_djvu (1).txt lines 4839–6005,"ಈ ಅಧ್ಯಾಯ ದುರ್ಯೋಧನನ ಬಳಗವನ್ನೂ ಯುಧಿಷ್ಠಿರನ ಬಳಗವನ್ನೂ ಎರಡು ವೃಕ್ಷಗಳಂತೆ ಚಿತ್ರಿಸುತ್ತದೆ. ಒಂದು ಕಡೆ ಕೋಪದ ವೃಕ್ಷಕ್ಕೆ ಧೃತರಾಷ್ಟ್ರನ ಮೋಹವೇ ಬೇರು. ಇನ್ನೊಂದು ಕಡೆ ಧರ್ಮವೃಕ್ಷಕ್ಕೆ ಕೃಷ್ಣ ಮತ್ತು ಜ್ಞಾನಪರಂಪರೆಯೇ ಆಧಾರ. ನಂತರ ಪಾಂಡವರ ಜನನ, ಬೆಳೆದ ವೈಷಮ್ಯ, ವನವಾಸ ಮತ್ತು ಯುದ್ಧದ ಘಟನೆಗಳನ್ನು ಮುನ್ನೋಟವಾಗಿ ತಿಳಿಸುತ್ತದೆ. ಸಂಜಯನಿಗೆ ಧೃತರಾಷ್ಟ್ರ ಹೇಳುವ ನೆನಪುಗಳಲ್ಲಿ ತನ್ನ ಪುತ್ರರ ವಿಜಯದ ಆಶೆ ಒಂದೊಂದಾಗಿ ಕಳೆದುಹೋದ ಸಂದರ್ಭಗಳು ಬರುತ್ತವೆ. ಇವೆಲ್ಲ ಮುಂದಿನ ಕಥೆಯ ಸಂಕ್ಷಿಪ್ತ ನೆರಳುಗಳು. ಅವುಗಳ ಕಾರಣ ಮತ್ತು ಸಂಪೂರ್ಣ ಘಟನೆಗಳನ್ನು ಮುಂದಿನ ಅಧ್ಯಾಯಗಳು ಕ್ರಮವಾಗಿ ಬಿಚ್ಚಿಡುತ್ತವೆ.",,60,27,34,,,pending,pending,,
36,G01-S08,ಕೇಳುವ ಬಾಗಿಲು ತೆರೆದಿದೆ,MAHABHARATA-1-AADIPARVA-_djvu (1).txt lines 6006–6495,"ಮಹಾಭಾರತವನ್ನು ಕೇಳುವುದರ ಫಲವನ್ನು ಮೊದಲ ಅಧ್ಯಾಯ ಹೊಗಳುತ್ತದೆ. ಅದನ್ನು ಪವಿತ್ರ ಶ್ರವಣವೆಂದೂ, ಧರ್ಮಜ್ಞಾನದ ಸಾಧನವೆಂದೂ ಪರಿಚಯಿಸುತ್ತದೆ. ಇವು ಗ್ರಂಥದ ಸ್ವಂತ ಫಲಶ್ರುತಿ ವಚನಗಳು. ಯುದ್ಧದ ಮುನ್ನೋಟ ಮತ್ತು ವಿಶ್ವವರ್ಣನೆಯ ನಂತರ ನಾವು ಮತ್ತೆ ನೈಮಿಷಾರಣ್ಯದ ಸಭೆಗೆ ಮರಳುತ್ತೇವೆ. ಉಗ್ರಶ್ರವಸ್ಸಿನ ಮುಂದೆ ಪ್ರಶ್ನೆಗಳು ಇನ್ನೂ ಉಳಿದಿವೆ. ಸಮಂತಪಂಚಕ ಎಂಬ ಹೆಸರಿಗೆ ಕಾರಣವೇನು? ಸೇನೆಗಳ ಪ್ರಮಾಣ ಎಷ್ಟು? ವಿಶಾಲವಾದ ಭಾರತವನ್ನು ಯಾವ ಪರ್ವಗಳಲ್ಲಿ ನಿರೂಪಿಸಲಾಗಿದೆ? ಈ ಪ್ರಶ್ನೆಗಳಿಗೆ ಉತ್ತರ ಸಿಕ್ಕಾಗ, ಮುಂದಿನ ಉಪಾಖ್ಯಾನಗಳಲ್ಲಿ ನಾವು ದಾರಿ ತಪ್ಪದೆ ಸಾಗಬಹುದು.",,54,24,31,,,pending,pending,,
37,G02-S01,ಐದು ಸರೋವರಗಳ ನೆನಪು,MAHABHARATA-1-AADIPARVA-_djvu (1).txt lines 6502–6610,ಶೌನಕರು ಸಮಂತಪಂಚಕದ ವಿಷಯವನ್ನು ವಿವರಿಸಲು ಕೇಳುತ್ತಾರೆ. ಉಗ್ರಶ್ರವಸ್ಸು ಹಿಂದಿನ ಯುಗದ ಪರಶುರಾಮನ ಕಡೆಗೆ ಕಥೆಯನ್ನು ಕರೆದೊಯ್ಯುತ್ತಾನೆ. ಕ್ಷತ್ರಿಯರ ಸಂಹಾರದ ನಂತರ ಅವರ ರಕ್ತದಿಂದ ಐದು ಸರೋವರಗಳನ್ನು ನಿರ್ಮಿಸಿದನೆಂದು ಈ ಕಥೆ ಹೇಳುತ್ತದೆ. ಪರಶುರಾಮನು ತನ್ನ ಪಿತೃಗಳಿಗೆ ಅಲ್ಲಿ ತರ್ಪಣ ಸಲ್ಲಿಸುತ್ತಾನೆ. ಆ ಹಿಂಸೆಯ ನೆನಪಿನ ಮಧ್ಯೆ ಅವನ ಪೂರ್ವಜರು ಪ್ರತ್ಯಕ್ಷರಾಗುತ್ತಾರೆ. ಪ್ರತೀಕಾರವನ್ನು ಮುಂದುವರಿಸುವುದಕ್ಕಿಂತ ಕೋಪವನ್ನು ಬಿಡುವಂತೆ ಅವರು ಸೂಚಿಸುತ್ತಾರೆ. ಮುಂದೆ ಕೌರವಪಾಂಡವರ ಯುದ್ಧ ನಡೆಯುವ ನೆಲಕ್ಕೆ ಅದಕ್ಕಿಂತಲೂ ಹಳೆಯ ದುಃಖದ ಇತಿಹಾಸವಿದೆ.,,51,23,29,,,pending,pending,,
38,G02-S02,ಪಿತೃಗಳ ವರ,MAHABHARATA-1-AADIPARVA-_djvu (1).txt lines 6550–6650,"ಪರಶುರಾಮನು ಪಿತೃಗಳಿಂದ ಅನುಗ್ರಹವನ್ನು ಬೇಡುತ್ತಾನೆ. ತಾನು ಮಾಡಿದ ಸಂಹಾರದ ದೋಷದಿಂದ ಬಿಡುಗಡೆಯಾಗಬೇಕೆಂದೂ, ಈ ಸರೋವರಗಳು ಪುಣ್ಯಕ್ಷೇತ್ರಗಳಾಗಿ ಮಾನ್ಯವಾಗಬೇಕೆಂದೂ ಕೇಳುತ್ತಾನೆ. ಪಿತೃಗಳು ಅವನಿಗೆ ಸಮಾಧಾನ ನೀಡಿ ಕೋಪವನ್ನು ಶಮನಗೊಳಿಸುತ್ತಾರೆ. ಹೀಗೆ ಐದು ಸರೋವರಗಳಿಂದ ಕೂಡಿದ ಸಮಂತಪಂಚಕದ ಮಹಿಮೆಯನ್ನು ಕಥೆ ವಿವರಿಸುತ್ತದೆ. ನಂತರ ದ್ವಾಪರ ಮತ್ತು ಕಲಿಯ ಸಂಧಿಯಲ್ಲಿ ಇದೇ ಪ್ರದೇಶದಲ್ಲಿ ಮಹಾಯುದ್ಧ ನಡೆಯುತ್ತದೆ. ಒಂದೇ ನೆಲದಲ್ಲಿ ಎರಡು ಯುಗಗಳ ಘಟನೆಗಳು ನೆನಪಾಗುತ್ತವೆ; ಆದರೆ ಅವು ಒಂದೇ ಯುದ್ಧವಲ್ಲ.",,47,21,27,,,pending,pending,,
39,G02-S03,ಅಕ್ಷೌಹಿಣಿ ಎಂದರೆ ಏನು?,MAHABHARATA-1-AADIPARVA-_djvu (1).txt lines 6640–6755,"ಯುದ್ಧದಲ್ಲಿ ಹದಿನೆಂಟು ಅಕ್ಷೌಹಿಣಿ ಸೇನೆಗಳು ಸೇರಿದ್ದವು ಎಂದು ಉಗ್ರಶ್ರವಸ್ಸು ಹೇಳುತ್ತಾನೆ. ಅಕ್ಷೌಹಿಣಿ ಎಂದರೆ ಕೇವಲ ದೊಡ್ಡ ಗುಂಪು ಎಂಬ ಅಸ್ಪಷ್ಟ ಪದವಲ್ಲ. ರಥ, ಆನೆ, ಕುದುರೆಸವಾರ ಮತ್ತು ಪದಾತಿಗಳ ನಿಗದಿತ ಅನುಪಾತಗಳಿಂದ ಅದರ ರಚನೆ ವಿವರಿಸಲ್ಪಡುತ್ತದೆ. ಒಂದು ಅಕ್ಷೌಹಿಣಿಯಲ್ಲಿ ಇಪ್ಪತ್ತೊಂದು ಸಾವಿರದ ಎಂಟುನೂರ ಎಪ್ಪತ್ತು ರಥಗಳು; ಅಷ್ಟೇ ಆನೆಗಳು; ಅರವತ್ತೈದು ಸಾವಿರದ ಆರುನೂರ ಹತ್ತು ಕುದುರೆಸವಾರರು; ಒಂದು ಲಕ್ಷದ ಒಂಬತ್ತು ಸಾವಿರದ ಮುನ್ನೂರ ಐವತ್ತು ಪದಾತಿಗಳು. ಈ ಸಂಖ್ಯೆಗಳು ಕಥೆ ಹೇಳುವ ಸೇನಾ ಪ್ರಮಾಣ.",,53,24,30,,,pending,pending,,
40,G02-S04,ಯುದ್ಧದ ಹಂತಗಳು,MAHABHARATA-1-AADIPARVA-_djvu (1).txt lines 6680–6758,"ಈ ಸೇನೆಗಳು ಹದಿನೆಂಟು ದಿನಗಳಲ್ಲಿ ನಾಶದ ಅಂಚಿಗೆ ಹೋಗುತ್ತವೆ. ಭೀಷ್ಮನು ಮೊದಲ ಹತ್ತು ದಿನ ಕೌರವ ಸೇನೆಯನ್ನು ನಡೆಸುತ್ತಾನೆ. ದ್ರೋಣನು ಮುಂದಿನ ಐದು ದಿನ ಸೇನಾಪತಿಯಾಗುತ್ತಾನೆ. ಕರ್ಣನ ನೇತೃತ್ವದಲ್ಲಿ ಎರಡು ದಿನ ಯುದ್ಧ ನಡೆಯುತ್ತದೆ; ನಂತರ ಶಲ್ಯನ ಘಟ್ಟ ಬರುತ್ತದೆ. ಗದಾಯುದ್ಧದ ನಂತರವೂ ಹಿಂಸೆ ಕೊನೆಗೊಳ್ಳುವುದಿಲ್ಲ; ರಾತ್ರಿ ನಡೆದ ದಾಳಿಯೂ ಕಥೆಯಲ್ಲಿ ಸೇರಿದೆ. ಈ ವಿವರಗಳು ಈಗ ಸಂಕ್ಷಿಪ್ತ ಕಾಲಪಟ್ಟಿ ಮಾತ್ರ. ಪ್ರತಿ ಸೇನಾಪತಿಯ ಪತನದ ಕಾರಣ, ಪ್ರತಿಜ್ಞೆ ಮತ್ತು ಸಂಬಂಧಗಳನ್ನು ಅವರವರ ಪರ್ವಗಳಲ್ಲಿ ವಿಸ್ತಾರವಾಗಿ ಕಾಣುವೆವು.",,55,24,31,,,pending,pending,,
41,G02-S05,ಆರಂಭದಿಂದ ಉದ್ಯೋಗದವರೆಗೆ,MAHABHARATA-1-AADIPARVA-_djvu (1).txt lines 6759–8045,"ಹದಿನೆಂಟು ಮುಖ್ಯ ಪರ್ವಗಳ ಮೊದಲ ಐದು ಭಾಗಗಳು ಯುದ್ಧಕ್ಕೆ ಮುಂಚಿನ ನೆಲೆಯನ್ನು ಕಟ್ಟುತ್ತವೆ. ಆದಿಪರ್ವದಲ್ಲಿ ವಂಶಗಳು, ಜನನಗಳು, ಶಿಕ್ಷಣ, ವಿವಾಹ ಮತ್ತು ಪಾಂಡವರ ಬದುಕಿನ ಆರಂಭ ಬರುತ್ತದೆ. ಸಭಾಪರ್ವದಲ್ಲಿ ರಾಜಸಭೆಯ ವೈಭವದಿಂದ ದ್ಯೂತದ ಸಂಕಟಕ್ಕೆ ಕಥೆ ತಿರುಗುತ್ತದೆ. ವನಪರ್ವ ಅರಣ್ಯವಾಸವನ್ನೂ ಅನೇಕ ಉಪಾಖ್ಯಾನಗಳನ್ನೂ ಹೇಳುತ್ತದೆ. ವಿರಾಟಪರ್ವದಲ್ಲಿ ಅಜ್ಞಾತವಾಸ ನಡೆಯುತ್ತದೆ. ಉದ್ಯೋಗಪರ್ವದಲ್ಲಿ ಶಾಂತಿಯ ಪ್ರಯತ್ನಗಳು ಮತ್ತು ಯುದ್ಧಸಿದ್ಧತೆ ಎದುರಾಗುತ್ತವೆ. ಇವುಗಳೊಳಗೆ ಉಪಪರ್ವಗಳೂ ಇವೆ. ದೊಡ್ಡ ಪರ್ವದ ಹೆಸರನ್ನು ತಿಳಿದುಕೊಂಡರೆ ಅದರ ಪ್ರತಿಯೊಂದು ಉಪಕಥೆಯನ್ನೂ ಕೇಳಿಬಿಟ್ಟೆವೆಂದು ಆಗುವುದಿಲ್ಲ.",,53,24,30,,,pending,pending,,
42,G02-S06,ಯುದ್ಧ ಮತ್ತು ಅದರ ಗಾಯಗಳು,MAHABHARATA-1-AADIPARVA-_djvu (1).txt lines 8046–8558,"ಮುಂದಿನ ಪರ್ವಗಳು ಯುದ್ಧದ ಮಧ್ಯಕ್ಕೆ ಕರೆದೊಯ್ಯುತ್ತವೆ. ಭೀಷ್ಮಪರ್ವದಲ್ಲಿ ಯುದ್ಧಾರಂಭ ಮತ್ತು ಗೀತೋಪದೇಶ; ದ್ರೋಣಪರ್ವದಲ್ಲಿ ದ್ರೋಣನ ಸೇನಾಪತ್ಯದ ಘಟ್ಟಗಳು; ಕರ್ಣಪರ್ವದಲ್ಲಿ ಕರ್ಣನ ಯುದ್ಧ; ಶಲ್ಯಪರ್ವದಲ್ಲಿ ಅಂತಿಮ ಸಮರಗಳು ಬರುತ್ತವೆ. ಸೌಪ್ತಿಕಪರ್ವ ನಿದ್ರೆಯಲ್ಲಿದ್ದ ಶಿಬಿರದ ಮೇಲೆ ನಡೆದ ದಾಳಿಯನ್ನು ಹೇಳುತ್ತದೆ. ಸ್ತ್ರೀಪರ್ವದಲ್ಲಿ ಉಳಿದ ಕುಟುಂಬಗಳ ಶೋಕ ಕೇಳಿಸುತ್ತದೆ. ಶಾಂತಿಪರ್ವ ಮತ್ತು ಅನುಶಾಸನಪರ್ವಗಳು ಯುದ್ಧದ ನಂತರದ ಧರ್ಮ, ರಾಜಕಾರ್ಯ ಮತ್ತು ಜೀವನದ ಕರ್ತವ್ಯಗಳನ್ನು ಬೋಧಿಸುತ್ತವೆ. ವಿಜಯದ ಘೋಷಣೆಯಿಂದ ಮಹಾಭಾರತ ಮುಗಿಯುವುದಿಲ್ಲ; ಬದುಕಿ ಉಳಿದವರ ಹೊಣೆಗಾರಿಕೆಯೂ ಅದರ ದೊಡ್ಡ ಭಾಗವಾಗಿದೆ.",,53,24,30,,,pending,pending,,
