id,type,label,prompt,negative,continuity
CH_AMBIKA,character,Ambika,"Original cinematic concept image for a South Asian epic series, 16:9 composition intended for UHD delivery; realistic anatomy, textured materials, restrained filmic colour and motivated light. Adult South Asian royal woman, softly squared face, dark eyes, smooth centre-parted braid, muted wine-red and cream cloth. She sits formally beside a screened courtyard window with hands clasped low. A tree outside supplies soft green reflected light; one quiet lamp touches the edge of the window. Her expression is guarded and human. Text-free image, purposeful environmental detail, clean subject separation, detailed yet natural surfaces; actual generated pixel dimensions must be checked rather than assumed to be native 4K.","No captions, logos, watermark, modern objects, fantasy plate armour, gratuitous gold, plastic skin, beauty-filter face, neon aura, extra limbs, fused fingers, duplicated subjects, deformed anatomy, inconsistent costume, impossible reflections, random architecture, sexualized framing or gore. No caste or morality encoded through complexion.","Soft square face, wine-red; distinct from both sisters."
CH_AMBALIKA,character,Ambalika,"Original cinematic concept image for a South Asian epic series, 16:9 composition intended for UHD delivery; realistic anatomy, textured materials, restrained filmic colour and motivated light. Adult South Asian royal woman, heart-shaped face, wide dark eyes, low looped braid, pale saffron and leaf-green cloth. She turns beside a carved timber doorway toward an approaching person outside the frame. Shade reveals her face clearly while a bright quiet courtyard recedes behind her. Use a specific attentive expression, not permanent terror. Text-free image, purposeful environmental detail, clean subject separation, detailed yet natural surfaces; actual generated pixel dimensions must be checked rather than assumed to be native 4K.","No captions, logos, watermark, modern objects, fantasy plate armour, gratuitous gold, plastic skin, beauty-filter face, neon aura, extra limbs, fused fingers, duplicated subjects, deformed anatomy, inconsistent costume, impossible reflections, random architecture, sexualized framing or gore. No caste or morality encoded through complexion.","Heart-shaped face, low braid, saffron-green; separate sister identity."
CH_DHRITARASHTRA,character,Dhritarashtra,"Original cinematic concept image for a South Asian epic series, 16:9 composition intended for UHD delivery; realistic anatomy, textured materials, restrained filmic colour and motivated light. Mature South Asian king, broad face, strong shoulders, short dark beard, naturally rendered unfocused eyes, burgundy cloth with a restrained heavy border. Seated upright in a timber-and-stone chamber, he locates the familiar armrest with one hand. Side daylight reveals the tactile wood and fabric. He listens with active intelligence rather than a vacant expression. Text-free image, purposeful environmental detail, clean subject separation, detailed yet natural surfaces; actual generated pixel dimensions must be checked rather than assumed to be native 4K.","No captions, logos, watermark, modern objects, fantasy plate armour, gratuitous gold, plastic skin, beauty-filter face, neon aura, extra limbs, fused fingers, duplicated subjects, deformed anatomy, inconsistent costume, impossible reflections, random architecture, sexualized framing or gore. No caste or morality encoded through complexion.",Blindness consistent; no magical white eyes or visual tracking; age variant checked.
CH_PANDU,character,Pandu,"Original cinematic concept image for a South Asian epic series, 16:9 composition intended for UHD delivery; realistic anatomy, textured materials, restrained filmic colour and motivated light. Adult South Asian king, narrow face, lean build, fine dark moustache, tied-back black hair, pale earth travelling garment and slate-green wrap. He stands in a foothill clearing with his bow lowered. Thin mist separates ridges; fallen leaves collect beside a worn stone path. Cool open-sky light reveals a thoughtful face and practical layers. Text-free image, purposeful environmental detail, clean subject separation, detailed yet natural surfaces; actual generated pixel dimensions must be checked rather than assumed to be native 4K.","No captions, logos, watermark, modern objects, fantasy plate armour, gratuitous gold, plastic skin, beauty-filter face, neon aura, extra limbs, fused fingers, duplicated subjects, deformed anatomy, inconsistent costume, impossible reflections, random architecture, sexualized framing or gore. No caste or morality encoded through complexion.","Lean/narrow face, slate green; complexion is individual design, not moral/caste coding."
CH_VIDURA,character,Vidura,"Original cinematic concept image for a South Asian epic series, 16:9 composition intended for UHD delivery; realistic anatomy, textured materials, restrained filmic colour and motivated light. Mature South Asian counsellor, compact beard, intelligent hooded eyes, carefully tied dark hair, unornamented warm-grey cloth with muted teal border. He stands in an orderly palace corridor, quietly assessing a room before speaking, a plain staff held naturally. Soft reflected courtyard light reveals the face and worn timber; modest dress does not diminish authority. Text-free image, purposeful environmental detail, clean subject separation, detailed yet natural surfaces; actual generated pixel dimensions must be checked rather than assumed to be native 4K.","No captions, logos, watermark, modern objects, fantasy plate armour, gratuitous gold, plastic skin, beauty-filter face, neon aura, extra limbs, fused fingers, duplicated subjects, deformed anatomy, inconsistent costume, impossible reflections, random architecture, sexualized framing or gore. No caste or morality encoded through complexion.","Warm grey/teal, compact beard; calm physical presence."
CH_GANDHARI,character,Gandhari,"Original cinematic concept image for a South Asian epic series, 16:9 composition intended for UHD delivery; realistic anatomy, textured materials, restrained filmic colour and motivated light. Adult South Asian royal woman, long oval face, dark braided hair, opaque cream blindfold tied consistently, forest-green cloth with a restrained metallic edge. She sits composed in a shaded chamber, hands resting on textured fabric. A tree outside supplies soft green light. The three-quarter angle shows the blindfold knot and clear facial expression below it. Text-free image, purposeful environmental detail, clean subject separation, detailed yet natural surfaces; actual generated pixel dimensions must be checked rather than assumed to be native 4K.","No captions, logos, watermark, modern objects, fantasy plate armour, gratuitous gold, plastic skin, beauty-filter face, neon aura, extra limbs, fused fingers, duplicated subjects, deformed anatomy, inconsistent costume, impossible reflections, random architecture, sexualized framing or gore. No caste or morality encoded through complexion.","Fix blindfold width, coverage and knot; no eye contact through cloth."
CH_KUNTI,character,"Kunti, adult mother stage","Original cinematic concept image for a South Asian epic series, 16:9 composition intended for UHD delivery; realistic anatomy, textured materials, restrained filmic colour and motivated light. Adult South Asian woman, rounded forehead, strong dark eyebrows, long braid, attentive decisive expression, muted brick-red and cream cloth. She stands at a forest shelter entrance turning toward children beyond frame, holding a small water vessel. Stream light touches the wall; the worn threshold and neatly stored household objects make the retreat lived in. Text-free image, purposeful environmental detail, clean subject separation, detailed yet natural surfaces; actual generated pixel dimensions must be checked rather than assumed to be native 4K.","No captions, logos, watermark, modern objects, fantasy plate armour, gratuitous gold, plastic skin, beauty-filter face, neon aura, extra limbs, fused fingers, duplicated subjects, deformed anatomy, inconsistent costume, impossible reflections, random architecture, sexualized framing or gore. No caste or morality encoded through complexion.",Adult mother stage; girlhood separate; rounded forehead and brick-red anchor.
CH_MADRI,character,Madri,"Original cinematic concept image for a South Asian epic series, 16:9 composition intended for UHD delivery; realistic anatomy, textured materials, restrained filmic colour and motivated light. Adult South Asian woman, slender oval face, dark almond-shaped eyes, two braids gathered together, ochre garment and subdued violet shawl. Kneeling by an outdoor cooking place, she looks toward another adult beyond frame. Ferns follow the damp stone slope; cool morning air softens the trees while a small flame warms her hands. Text-free image, purposeful environmental detail, clean subject separation, detailed yet natural surfaces; actual generated pixel dimensions must be checked rather than assumed to be native 4K.","No captions, logos, watermark, modern objects, fantasy plate armour, gratuitous gold, plastic skin, beauty-filter face, neon aura, extra limbs, fused fingers, duplicated subjects, deformed anatomy, inconsistent costume, impossible reflections, random architecture, sexualized framing or gore. No caste or morality encoded through complexion.",Ochre/violet and paired braids distinguish from Kunti; retreat stage.
CH_YUDHISHTHIRA,character,Yudhishthira,"Original cinematic concept image for a South Asian epic series, 16:9 composition intended for UHD delivery; realistic anatomy, textured materials, restrained filmic colour and motivated light. Young adult South Asian prince, broad forehead, measured dark eyes, neatly tied shoulder-length hair, sand-coloured cloth with dark-green border. He listens at the edge of a training court before responding. Compacted earth, shaded practice posts and distant pupils establish purpose; balanced afternoon daylight keeps every subtle expression readable. Text-free image, purposeful environmental detail, clean subject separation, detailed yet natural surfaces; actual generated pixel dimensions must be checked rather than assumed to be native 4K.","No captions, logos, watermark, modern objects, fantasy plate armour, gratuitous gold, plastic skin, beauty-filter face, neon aura, extra limbs, fused fingers, duplicated subjects, deformed anatomy, inconsistent costume, impossible reflections, random architecture, sexualized framing or gore. No caste or morality encoded through complexion.","Young adult; broad forehead, sand/green; calm does not mean flawless."
CH_BHIMA,character,Bhima,"Original cinematic concept image for a South Asian epic series, 16:9 composition intended for UHD delivery; realistic anatomy, textured materials, restrained filmic colour and motivated light. Young adult South Asian prince, wide face, powerful athletic build, thick dark hair tied at the nape, rust-red cloth and practical wrist wraps. On an uneven forest path, one heavy practice mace rests against the ground beside him. Broad leaves and exposed roots give scale; low side light reveals natural muscle, cloth and firmly planted feet. Text-free image, purposeful environmental detail, clean subject separation, detailed yet natural surfaces; actual generated pixel dimensions must be checked rather than assumed to be native 4K.","No captions, logos, watermark, modern objects, fantasy plate armour, gratuitous gold, plastic skin, beauty-filter face, neon aura, extra limbs, fused fingers, duplicated subjects, deformed anatomy, inconsistent costume, impossible reflections, random architecture, sexualized framing or gore. No caste or morality encoded through complexion.",Young adult; wide face/rust; stable scale relative to brothers; source-check mace.
CH_ARJUNA,character,Arjuna,"Original cinematic concept image for a South Asian epic series, 16:9 composition intended for UHD delivery; realistic anatomy, textured materials, restrained filmic colour and motivated light. Young adult South Asian archer, fine oval face, focused dark eyes, black hair in a practical knot, blue-grey cloth with cream border. He pauses with one unstrung bow at his side beside a straight earth practice lane. A fixed target and shade trees establish useful geography; late sunlight separates the bow cleanly from his silhouette. Text-free image, purposeful environmental detail, clean subject separation, detailed yet natural surfaces; actual generated pixel dimensions must be checked rather than assumed to be native 4K.","No captions, logos, watermark, modern objects, fantasy plate armour, gratuitous gold, plastic skin, beauty-filter face, neon aura, extra limbs, fused fingers, duplicated subjects, deformed anatomy, inconsistent costume, impossible reflections, random architecture, sexualized framing or gore. No caste or morality encoded through complexion.",Young adult; oval face/blue-grey; fixed weapon hand and target orientation.
CH_NAKULA,character,Nakula,"Original cinematic concept image for a South Asian epic series, 16:9 composition intended for UHD delivery; realistic anatomy, textured materials, restrained filmic colour and motivated light. Young adult South Asian prince, gently tapered face, wavy tied-back black hair, attentive expression, light-brown cloth and teal sash. He stands beside a calm horse in a shaded stable yard, one hand near its shoulder with clean anatomy. Straw, timber rails and a distant grove establish a functioning place; soft daylight reveals both faces. Text-free image, purposeful environmental detail, clean subject separation, detailed yet natural surfaces; actual generated pixel dimensions must be checked rather than assumed to be native 4K.","No captions, logos, watermark, modern objects, fantasy plate armour, gratuitous gold, plastic skin, beauty-filter face, neon aura, extra limbs, fused fingers, duplicated subjects, deformed anatomy, inconsistent costume, impossible reflections, random architecture, sexualized framing or gore. No caste or morality encoded through complexion.","Tapered face, wavy hair, teal; distinct from Sahadeva; source-check activity."
CH_SAHADEVA,character,Sahadeva,"Original cinematic concept image for a South Asian epic series, 16:9 composition intended for UHD delivery; realistic anatomy, textured materials, restrained filmic colour and motivated light. Young adult South Asian prince, rounded jaw, straight dark hair tied low, concentrated expression, light-brown cloth and muted violet sash. He sits on a low camp stone inspecting a simple item held naturally in both hands. Dew remains on grasses and thin dawn mist hangs behind trees. The composition conveys attention without mystical visual clichés. Text-free image, purposeful environmental detail, clean subject separation, detailed yet natural surfaces; actual generated pixel dimensions must be checked rather than assumed to be native 4K.","No captions, logos, watermark, modern objects, fantasy plate armour, gratuitous gold, plastic skin, beauty-filter face, neon aura, extra limbs, fused fingers, duplicated subjects, deformed anatomy, inconsistent costume, impossible reflections, random architecture, sexualized framing or gore. No caste or morality encoded through complexion.","Rounded jaw, straight low-tied hair, violet; family resemblance without identical twins."
CH_DURYODHANA,character,Duryodhana,"Original cinematic concept image for a South Asian epic series, 16:9 composition intended for UHD delivery; realistic anatomy, textured materials, restrained filmic colour and motivated light. Young adult South Asian prince, broad angular jaw, thick dark eyebrows, tightly bound hair, aubergine cloth with bronze border. He watches a rival beyond frame within a palace practice court. Warm stone, hard-packed earth and one grounded practice mace establish location; neutral daylight portrays pride and intensity without scars, demonic eyes or grotesque expression. Text-free image, purposeful environmental detail, clean subject separation, detailed yet natural surfaces; actual generated pixel dimensions must be checked rather than assumed to be native 4K.","No captions, logos, watermark, modern objects, fantasy plate armour, gratuitous gold, plastic skin, beauty-filter face, neon aura, extra limbs, fused fingers, duplicated subjects, deformed anatomy, inconsistent costume, impossible reflections, random architecture, sexualized framing or gore. No caste or morality encoded through complexion.",Angular jaw/aubergine-bronze; no complexion-based morality; consistent human identity.
CH_KARNA,character,Karna,"Original cinematic concept image for a South Asian epic series, 16:9 composition intended for UHD delivery; realistic anatomy, textured materials, restrained filmic colour and motivated light. Young adult South Asian warrior, long straight nose, clear dark eyes, loose dark hair gathered behind shoulders, warm ochre cloth and practical warrior layers. Distinctive restrained ear ornaments and protective chest details are clearly visible for review. He stands at a public arena edge, composed amid suspended afternoon dust, with a readable strong silhouette. Text-free image, purposeful environmental detail, clean subject separation, detailed yet natural surfaces; actual generated pixel dimensions must be checked rather than assumed to be native 4K.","No captions, logos, watermark, modern objects, fantasy plate armour, gratuitous gold, plastic skin, beauty-filter face, neon aura, extra limbs, fused fingers, duplicated subjects, deformed anatomy, inconsistent costume, impossible reflections, random architecture, sexualized framing or gore. No caste or morality encoded through complexion.",Long nose/ochre; protective attributes and earrings require exact timeline verification.
CH_DRONA,character,Drona,"Original cinematic concept image for a South Asian epic series, 16:9 composition intended for UHD delivery; realistic anatomy, textured materials, restrained filmic colour and motivated light. Mature South Asian teacher, lean face, dark-grey moustache and beard, tied greying hair, off-white cloth and brown working wraps. He indicates a fixed target beside a marked practice lane. An orderly wooden rack holds a few training weapons; worn earth records footwork. Dappled afternoon light falls on the ground but leaves his face in readable shade. Text-free image, purposeful environmental detail, clean subject separation, detailed yet natural surfaces; actual generated pixel dimensions must be checked rather than assumed to be native 4K.","No captions, logos, watermark, modern objects, fantasy plate armour, gratuitous gold, plastic skin, beauty-filter face, neon aura, extra limbs, fused fingers, duplicated subjects, deformed anatomy, inconsistent costume, impossible reflections, random architecture, sexualized framing or gore. No caste or morality encoded through complexion.",Lean face/off-white-brown; instruction pose; scene-check weapons and ritual details.
CH_EKALAVYA,character,Ekalavya,"Original cinematic concept image for a South Asian epic series, 16:9 composition intended for UHD delivery; realistic anatomy, textured materials, restrained filmic colour and motivated light. Young adult South Asian archer, square face, close dark curls, composed alert expression, sturdy olive and tan plant-dyed cloth. He stands in a self-made practice clearing beside a simple target and packed-earth platform. Ferns stop at the repeatedly worn lane. Open shade gives clear hand anatomy and conveys purposeful independent work without tribal caricature. Text-free image, purposeful environmental detail, clean subject separation, detailed yet natural surfaces; actual generated pixel dimensions must be checked rather than assumed to be native 4K.","No captions, logos, watermark, modern objects, fantasy plate armour, gratuitous gold, plastic skin, beauty-filter face, neon aura, extra limbs, fused fingers, duplicated subjects, deformed anatomy, inconsistent costume, impossible reflections, random architecture, sexualized framing or gore. No caste or morality encoded through complexion.",Square face/olive-tan; hand state follows source chronology; no invented exotic features.
CH_DRUPADA,character,Drupada,"Original cinematic concept image for a South Asian epic series, 16:9 composition intended for UHD delivery; realistic anatomy, textured materials, restrained filmic colour and motivated light. Mature South Asian king, narrow squared beard, deep-set eyes, greying temples, muted crimson cloth and cream shoulder wrap with a modest diadem. He stands on shallow steps within a spacious Panchala court. Sandstone and carved timber frame a well-tended tree; formal posture and soft side light suggest authority carrying remembered conflict. Text-free image, purposeful environmental detail, clean subject separation, detailed yet natural surfaces; actual generated pixel dimensions must be checked rather than assumed to be native 4K.","No captions, logos, watermark, modern objects, fantasy plate armour, gratuitous gold, plastic skin, beauty-filter face, neon aura, extra limbs, fused fingers, duplicated subjects, deformed anatomy, inconsistent costume, impossible reflections, random architecture, sexualized framing or gore. No caste or morality encoded through complexion.","Crimson/cream, narrow squared beard; age and ceremonial variant recorded."
CH_DRAUPADI,character,Draupadi,"Original cinematic concept image for a South Asian epic series, 16:9 composition intended for UHD delivery; realistic anatomy, textured materials, restrained filmic colour and motivated light. Adult South Asian royal woman, elongated face, large expressive dark eyes, full long black braid, deep red and muted indigo cloth with precise restrained jewelry. She stands in a Panchala colonnade alert to the assembly beyond. Garlands remain at the actual event entrance; garden light softly fills her face. Her posture communicates agency, not display. Text-free image, purposeful environmental detail, clean subject separation, detailed yet natural surfaces; actual generated pixel dimensions must be checked rather than assumed to be native 4K.","No captions, logos, watermark, modern objects, fantasy plate armour, gratuitous gold, plastic skin, beauty-filter face, neon aura, extra limbs, fused fingers, duplicated subjects, deformed anatomy, inconsistent costume, impossible reflections, random architecture, sexualized framing or gore. No caste or morality encoded through complexion.",Adult; elongated face/full braid/red-indigo; track hair and costume by event.
CH_KRISHNA,character,Krishna,"Original cinematic concept image for a South Asian epic series, 16:9 composition intended for UHD delivery; realistic anatomy, textured materials, restrained filmic colour and motivated light. Adult South Asian man, softly squared face, warm attentive eyes, dark curly hair, yellow-ochre cloth and deep-blue shoulder wrap. He turns toward a companion in a sunlit court with a restrained knowing expression. Fine woven texture, a modest ornament and natural warm-brown skin create a human dramatic presence; reflected light replaces permanent glowing effects. Text-free image, purposeful environmental detail, clean subject separation, detailed yet natural surfaces; actual generated pixel dimensions must be checked rather than assumed to be native 4K.","No captions, logos, watermark, modern objects, fantasy plate armour, gratuitous gold, plastic skin, beauty-filter face, neon aura, extra limbs, fused fingers, duplicated subjects, deformed anatomy, inconsistent costume, impossible reflections, random architecture, sexualized framing or gore. No caste or morality encoded through complexion.",Human court presentation; yellow/deep-blue; divine forms require separate source-grounded variants.
CH_SHAKUNI,character,"Shakuni, source-gated","Original cinematic concept image for a South Asian epic series, 16:9 composition intended for UHD delivery; realistic anatomy, textured materials, restrained filmic colour and motivated light. Mature South Asian royal kinsman, long face, neat divided short beard, thoughtful eyes, subdued brown-violet court cloth with narrow pattern. He sits in an audience chamber with empty hands visible, observing the people beyond frame. Warm side light reveals age lines and woven cloth, while an ordinary poised expression avoids grotesque villain coding. Text-free image, purposeful environmental detail, clean subject separation, detailed yet natural surfaces; actual generated pixel dimensions must be checked rather than assumed to be native 4K.","No captions, logos, watermark, modern objects, fantasy plate armour, gratuitous gold, plastic skin, beauty-filter face, neon aura, extra limbs, fused fingers, duplicated subjects, deformed anatomy, inconsistent costume, impossible reflections, random architecture, sexualized framing or gore. No caste or morality encoded through complexion.",Use only when audited source includes him; portrait implies no dice action; later dice arc outside verified bound.
CH_ASTIKA,character,Astika,"Original cinematic concept image for a South Asian epic series, 16:9 composition intended for UHD delivery; realistic anatomy, textured materials, restrained filmic colour and motivated light. Young adult South Asian sage, smooth oval face, steady dark eyes, simply tied black hair, undyed cloth and muted saffron wrap. At a ceremonial enclosure entrance, one open palm requests a hearing. The assembly and distant fire remain behind him; clear morning light emphasizes human resolve. Footpaths through prepared earth give the scene a traversable geography. Text-free image, purposeful environmental detail, clean subject separation, detailed yet natural surfaces; actual generated pixel dimensions must be checked rather than assumed to be native 4K.","No captions, logos, watermark, modern objects, fantasy plate armour, gratuitous gold, plastic skin, beauty-filter face, neon aura, extra limbs, fused fingers, duplicated subjects, deformed anatomy, inconsistent costume, impossible reflections, random architecture, sexualized framing or gore. No caste or morality encoded through complexion.",Oval face/saffron-cream; preserve youth; gesture not automatic magical effect.
