id,group_id,title,image_prompt,negative_prompt,motion,sound,continuity,postproduction_labels_kn,editorial_notes_kn,source,spoken_words,voice_estimate_min_seconds,voice_estimate_max_seconds,actual_voice_duration_seconds,image_status,clip_status,approved_reference_ids,review_status
I3-S03,I3,ಪಂಚಾಲದ ಕಡೆಗೆ,"Royal Panchala ceremonial pavilion prepared for a wedding, marigold and jasmine garlands in restrained abundance, brass lamps and woven silk canopies, late-afternoon sunlight across red earth and polished timber, an empty central sacred-fire enclosure awaiting the ceremony,35mm wide lens, sumptuous but plausible Indian craftsmanship, clean composition, no brides or grooms invented in the introduction, no printed signage. Delivery target3840x2160,16:9. Cinematic naturalism, coherent anatomy, no generated text, no watermarks.","No generated letters, logos, watermarks, extra limbs, duplicate faces, deformed hands, plastic costumes, unrelated architecture, sexualized framing or graphic gore. Preserve original character references, age and scene continuity. For an editorial or publication scene, permit the modern book or archive props explicitly requested; do not project them into ancient story scenes.",Slow tilt from flower garlands to the ceremonial space. End on warm bells and a clean cut into the first Volume3 scene.,Room tone and one low tanpura note under clear Kannada narration; follow the detailed audio cue in the motion direction. No triumphant drums.,"Documentary framing; all illustration choices are visual interpretation, no historical-photo claim.",,,MAHABHARATA-3-AADIPARVA_djvu.txt lines 107–667; MAHABHARATA-3-AADIPARVA_djvu.txt lines 615–658,88,39,50,,not_generated,not_generated,,editorial_draft
I4-S01,I4,ಒಂದೇ ಸಂಪುಟದಲ್ಲಿ ಎರಡು ಪರ್ವಗಳು,"Two monumental but restrained sandstone doorways aligned along a royal Indian colonnade, first doorway warmly lit and second revealing a luminous new assembly space beyond, small banyan leaves in courtyard foreground,24mm lens with straight architectural verticals, gold sunlight and lapis-blue shadows, hand-carved lotus details, no text, no giant fantasy statues, visual metaphor of two connected parvas in one volume. Delivery target3840x2160,16:9. Cinematic naturalism, coherent anatomy, no generated text, no watermarks.","No generated letters, logos, watermarks, extra limbs, duplicate faces, deformed hands, plastic costumes, unrelated architecture, sexualized framing or graphic gore. Preserve original character references, age and scene continuity. For an editorial or publication scene, permit the modern book or archive props explicitly requested; do not project them into ancient story scenes.",One slow forward dolly through first doorway only. Add post-produced labels ಆದಿಪರ್ವ200–237 and ಸಭಾಪರ್ವ1–24.,Room tone and one low tanpura note under clear Kannada narration; follow the detailed audio cue in the motion direction. No triumphant drums.,"Documentary framing; all illustration choices are visual interpretation, no historical-photo claim.",,,MAHABHARATA-4-AADIPARVA_djvu.txt lines 1–119; MAHABHARATA-4-AADIPARVA_djvu.txt lines 369–905,80,36,46,,not_generated,not_generated,,editorial_draft
I4-S02,I4,ಮುನ್ನುಡಿಯ ಒಂದು ಮಹತ್ವದ ಎಚ್ಚರಿಕೆ,"Close documentary view of three unlettered manuscript bundles of different thickness placed beside an open book, a small brass balance scale subtly visible behind them, natural afternoon window light,65mm lens, rich teak and parchment palette, no coins, no gambling table, no dice, no characters from the future dice episode, calm scholarly atmosphere, leave blank space for editor-added chapter-number comparison. Delivery target3840x2160,16:9. Cinematic naturalism, coherent anatomy, no generated text, no watermarks.","No generated letters, logos, watermarks, extra limbs, duplicate faces, deformed hands, plastic costumes, unrelated architecture, sexualized framing or graphic gore. Preserve original character references, age and scene continuity. For an editorial or publication scene, permit the modern book or archive props explicitly requested; do not project them into ancient story scenes.","Static camera, slight focus shift. Show72/100/115 only as a source-edition comparison graphic, never as episode totals.",Room tone and one low tanpura note under clear Kannada narration; follow the detailed audio cue in the motion direction. No triumphant drums.,"Documentary framing; all illustration choices are visual interpretation, no historical-photo claim.",,,MAHABHARATA-4-AADIPARVA_djvu.txt lines 120–362,88,39,50,,not_generated,not_generated,,editorial_draft
I4-S03,I4,ಸಭೆಯ ವೈಭವದೊಳಗಿನ ಪ್ರಶ್ನೆ,"Vast Maya assembly hall seen from a low entrance viewpoint, clear crystal-like floor panels interwoven with real shallow lotus pools, sculpted stone columns with fine Indian vegetal carving, daylight reflected gently from water, three distant adult male travellers framed in the doorway as a future transition motif without identifying faces,24mm lens, pearl/teal/antique-gold palette, physically readable water edges, luxurious tangible materials, no laser beams or floating architecture. Delivery target3840x2160,16:9. Cinematic naturalism, coherent anatomy, no generated text, no watermarks.","No generated letters, logos, watermarks, extra limbs, duplicate faces, deformed hands, plastic costumes, unrelated architecture, sexualized framing or graphic gore. Preserve original character references, age and scene continuity. For an editorial or publication scene, permit the modern book or archive props explicitly requested; do not project them into ancient story scenes.","Slow reveal of the hall from behind a column, light water ambience. At the actual parva change use a clean slate: ಸಭಾಪರ್ವ — ಮಂತ್ರಪರ್ವ, ಅಧ್ಯಾಯ1.",Room tone and one low tanpura note under clear Kannada narration; follow the detailed audio cue in the motion direction. No triumphant drums.,"Documentary framing; all illustration choices are visual interpretation, no historical-photo claim.",,,MAHABHARATA-4-AADIPARVA_djvu.txt lines 19393–19424; MAHABHARATA-4-AADIPARVA_djvu.txt lines 369–905; MAHABHARATA-4-AADIPARVA_djvu.txt lines 31395–31396,110,49,63,,not_generated,not_generated,,editorial_draft
G01-S01,G01,ಮಂಗಳಾಚರಣೆ ಮತ್ತು ಈ ಆವೃತ್ತಿಯ ಅರ್ಥದಿಕ್ಕು,"A close view of a steady oil-lamp flame beside a palm-leaf manuscript on a low wooden stand, a reader’s respectful hands entering the edge of frame. Beyond the shaded hermitage doorway, an unoccupied path leads into misty forest. Warm amber flame meets cool dawn; keep the manuscript marks indistinct. No composite portraits of deities. Create one coherent cinematic frame for a 3840x2160, 16:9 master. Refined painterly realism, believable Indic faces and anatomy, handwoven natural-dye textiles, weathered organic materials, deep atmospheric perspective, nuanced natural light and rich restrained color. Preserve established face references, costume stage and prop placement. No collage, captions, logos, modern objects or invented written symbols. Architecture and costume are interpretive production design, not archaeological claims.","No generated letters, logos, watermarks, extra limbs, duplicate faces, deformed hands, plastic costumes, unrelated architecture, sexualized framing or graphic gore. Preserve original character references, age and scene continuity. For an editorial or publication scene, permit the modern book or archive props explicitly requested; do not project them into ancient story scenes.",Slow forward move from the lamp toward the doorway; dissolve only after the invocation finishes.,"Single low tanpura note, soft flame and first forest birds. Leave the invocation spacious.","Establish the manuscript as the presentational frame; the following scene enters the epic narrative, not the publication period.",,,MAHABHARATA-1-AADIPARVA-_djvu (1).txt lines 3716–3795,55,24,31,,not_generated,not_generated,,editorial_draft
G01-S02,G01,ಹನ್ನೆರಡು ವರ್ಷದ ಸತ್ರ,"Ugrashravas, an adult traveling storyteller with dust on his ochre hem and a tied bundle, pauses at the entrance of Shaunaka’s forest ritual enclosure. Elder Shaunaka sits beside a modest brick fire altar, with attentive ascetics arranged beneath tall trees. One clear welcoming exchange, not a crowded festival. Soft early light, layered trunks, quiet smoke and tactile woven mats. Create one coherent cinematic frame for a 3840x2160, 16:9 master. Refined painterly realism, believable Indic faces and anatomy, handwoven natural-dye textiles, weathered organic materials, deep atmospheric perspective, nuanced natural light and rich restrained color. Preserve established face references, costume stage and prop placement. No collage, captions, logos, modern objects or invented written symbols. Architecture and costume are interpretive production design, not archaeological claims.","No generated letters, logos, watermarks, extra limbs, duplicate faces, deformed hands, plastic costumes, unrelated architecture, sexualized framing or graphic gore. Preserve original character references, age and scene continuity. For an editorial or publication scene, permit the modern book or archive props explicitly requested; do not project them into ancient story scenes.","Track behind Ugrashravas, then settle at seated human eye height.","Footfalls on leaves, low ritual recitation tapering into quiet.",Lock Ugrashravas’s travel clothing and Shaunaka’s seating position for every return to this outer frame.,,ಮಹಾಭಾರತದ ಮೊದಲ ದೃಶ್ಯದಲ್ಲಿ ಯೋಧರಿಗಿಂತ ಮೊದಲು ಕೇಳುವವರು ಮತ್ತು ಹೇಳುವವರು ನಮ್ಮ ಎದುರಿಗೆ ಬರುತ್ತಾರೆ.,MAHABHARATA-1-AADIPARVA-_djvu (1).txt lines 3796–3828,45,20,26,,not_generated,not_generated,,editorial_draft
G01-S03,G01,ಅತಿಥಿಯ ಪ್ರಶ್ನೋತ್ತರ,"Medium close shot of seated Ugrashravas answering a grey-bearded forest sage, both faces naturally lit by open shade. His travel bundle rests beside the same mat. Background listeners remain still and attentive. Frame his open hand as he recalls another assembly; do not show the serpent sacrifice inside the same image. A warm, intimate storytelling composition. Create one coherent cinematic frame for a 3840x2160, 16:9 master. Refined painterly realism, believable Indic faces and anatomy, handwoven natural-dye textiles, weathered organic materials, deep atmospheric perspective, nuanced natural light and rich restrained color. Preserve established face references, costume stage and prop placement. No collage, captions, logos, modern objects or invented written symbols. Architecture and costume are interpretive production design, not archaeological claims.","No generated letters, logos, watermarks, extra limbs, duplicate faces, deformed hands, plastic costumes, unrelated architecture, sexualized framing or graphic gore. Preserve original character references, age and scene continuity. For an editorial or publication scene, permit the modern book or archive props explicitly requested; do not project them into ancient story scenes.",Slow push toward the storyteller; make the transition to the inner frame in the edit.,"Clear foreground voice, distant leaves, no ominous battle effects.",Three narratorial levels must remain explicit: Ugrashravas speaks to Shaunaka; Vaishampayana spoke to Janamejaya; epic events precede both.,,,MAHABHARATA-1-AADIPARVA-_djvu (1).txt lines 3829–3896,53,24,30,,not_generated,not_generated,,editorial_draft
G01-S04,G01,ಯುದ್ಧದ ನೆಲದಿಂದ ಬಂದ ಸಾಕ್ಷಿ,"An adult traveler, Ugrashravas in the same worn ochre garments, stands small against the expansive quiet plain of Samantapanchaka. Low pools catch pale sky, reeds bend in wind and distant earth rises gently. Show the aftermath through absence and contemplative scale, without fabricated ruins, abandoned weapon heaps or living battle armies. Muted gold horizon, cool foreground grasses. Create one coherent cinematic frame for a 3840x2160, 16:9 master. Refined painterly realism, believable Indic faces and anatomy, handwoven natural-dye textiles, weathered organic materials, deep atmospheric perspective, nuanced natural light and rich restrained color. Preserve established face references, costume stage and prop placement. No collage, captions, logos, modern objects or invented written symbols. Architecture and costume are interpretive production design, not archaeological claims.","No generated letters, logos, watermarks, extra limbs, duplicate faces, deformed hands, plastic costumes, unrelated architecture, sexualized framing or graphic gore. Preserve original character references, age and scene continuity. For an editorial or publication scene, permit the modern book or archive props explicitly requested; do not project them into ancient story scenes.",Lateral drift across reeds revealing the lone traveler; dissolve back to the waiting sages.,Open wind and water birds; a restrained low string line.,"This is remembered travel after the war, not a scene of the war itself.",,,MAHABHARATA-1-AADIPARVA-_djvu (1).txt lines 3897–3971,54,24,31,,not_generated,not_generated,,editorial_draft
G01-S05,G01,ಸೃಷ್ಟಿಯಿಂದ ಮಾನವಕಥೆಗೆ,"A contemplative symbolic creation image: a luminous golden cosmic egg reflected upon dark still waters, with the first faint horizon emerging behind it. Maintain a single solemn focal point and vast negative space; no scientific diagram or miniature modern planets. Light spreads subtly through deep blue darkness, suggesting the source’s sacred cosmology without pretending to depict an observed physical event. Create one coherent cinematic frame for a 3840x2160, 16:9 master. Refined painterly realism, believable Indic faces and anatomy, handwoven natural-dye textiles, weathered organic materials, deep atmospheric perspective, nuanced natural light and rich restrained color. Preserve established face references, costume stage and prop placement. No collage, captions, logos, modern objects or invented written symbols. Architecture and costume are interpretive production design, not archaeological claims.","No generated letters, logos, watermarks, extra limbs, duplicate faces, deformed hands, plastic costumes, unrelated architecture, sexualized framing or graphic gore. Preserve original character references, age and scene continuity. For an editorial or publication scene, permit the modern book or archive props explicitly requested; do not project them into ancient story scenes.",Very slow widening of the field; let light expand gently rather than explode.,"Low resonant drone, one rising overtone, no electronic science-fiction effects.",Label this imagery as sacred cosmological visualization in the production notes; return to the narrator before human genealogy.,,,MAHABHARATA-1-AADIPARVA-_djvu (1).txt lines 3972–4389,58,26,33,,not_generated,not_generated,,editorial_draft
G01-S06,G01,ಸಂಗ್ರಹ ಮತ್ತು ವಿಸ್ತಾರ,"Vyasa, a mature dark-complexioned sage with bound matted hair and simple ochre cloth, teaches a small seated circle in a riverside hermitage. Shuka and other disciples listen; avoid assigning unidentified faces elaborate royal ornaments. A palm-leaf bundle lies closed beside the teacher. Deep river greens, weathered timber, side light on attentive faces, dignified stillness and clear teacher-student eyelines. Create one coherent cinematic frame for a 3840x2160, 16:9 master. Refined painterly realism, believable Indic faces and anatomy, handwoven natural-dye textiles, weathered organic materials, deep atmospheric perspective, nuanced natural light and rich restrained color. Preserve established face references, costume stage and prop placement. No collage, captions, logos, modern objects or invented written symbols. Architecture and costume are interpretive production design, not archaeological claims.","No generated letters, logos, watermarks, extra limbs, duplicate faces, deformed hands, plastic costumes, unrelated architecture, sexualized framing or graphic gore. Preserve original character references, age and scene continuity. For an editorial or publication scene, permit the modern book or archive props explicitly requested; do not project them into ancient story scenes.",Arc slowly from the listening pupils to Vyasa; keep the teacher dominant but humanly close.,River current and spare plucked strings under clear narration.,The recitation lineage is a source statement; exact appearances and the arrangement of pupils are design choices.,,,MAHABHARATA-1-AADIPARVA-_djvu (1).txt lines 4390–4838,53,24,30,,not_generated,not_generated,,editorial_draft
G01-S07,G01,ಎರಡು ವೃಕ್ಷಗಳು ಮತ್ತು ಯುದ್ಧದ ಮುನ್ನೋಟ,"An elderly blind king Dhritarashtra sits upright on a restrained wooden court seat while Sanjaya kneels at respectful speaking distance. The king’s hand tightens on the armrest; Sanjaya’s face carries the weight of remembered reports. Quiet late-afternoon interior, bronze lamps and woven hangings, no battle montage. Convey loss through posture rather than theatrical screaming. Create one coherent cinematic frame for a 3840x2160, 16:9 master. Refined painterly realism, believable Indic faces and anatomy, handwoven natural-dye textiles, weathered organic materials, deep atmospheric perspective, nuanced natural light and rich restrained color. Preserve established face references, costume stage and prop placement. No collage, captions, logos, modern objects or invented written symbols. Architecture and costume are interpretive production design, not archaeological claims.","No generated letters, logos, watermarks, extra limbs, duplicate faces, deformed hands, plastic costumes, unrelated architecture, sexualized framing or graphic gore. Preserve original character references, age and scene continuity. For an editorial or publication scene, permit the modern book or archive props explicitly requested; do not project them into ancient story scenes.","Hold on the king’s hand, then move gently to his listening face.",A single low bow on strings; court ambience falls almost silent.,Mark as chapter-one synopsis of later events; do not treat these images as the next chronological action.,,,MAHABHARATA-1-AADIPARVA-_djvu (1).txt lines 4839–6005,60,27,34,,not_generated,not_generated,,editorial_draft
G01-S08,G01,ಕೇಳುವ ಬಾಗಿಲು ತೆರೆದಿದೆ,"Return to the established Naimisha gathering: Shaunaka leans slightly forward, Ugrashravas sits opposite him, and the ritual fire burns low between their planes. The same trees, mats, travel bundle and robe colors preserve continuity. Afternoon shade replaces the remembered landscapes, with gentle light along faces. One attentive younger ascetic raises his gaze, anticipating the next question. Create one coherent cinematic frame for a 3840x2160, 16:9 master. Refined painterly realism, believable Indic faces and anatomy, handwoven natural-dye textiles, weathered organic materials, deep atmospheric perspective, nuanced natural light and rich restrained color. Preserve established face references, costume stage and prop placement. No collage, captions, logos, modern objects or invented written symbols. Architecture and costume are interpretive production design, not archaeological claims.","No generated letters, logos, watermarks, extra limbs, duplicate faces, deformed hands, plastic costumes, unrelated architecture, sexualized framing or graphic gore. Preserve original character references, age and scene continuity. For an editorial or publication scene, permit the modern book or archive props explicitly requested; do not project them into ancient story scenes.","Ease back to a balanced two-shot, leaving a calm pause at the end.",Forest ambience returns; a short concluding flute phrase stops before the bridge.,End in the outer narration frame so Episode02 can begin directly with Shaunaka’s question.,,,MAHABHARATA-1-AADIPARVA-_djvu (1).txt lines 6006–6495,54,24,31,,not_generated,not_generated,,editorial_draft
